cellID	neuro
SRR7408400	0
SRR7408401	0
SRR7408404	0
SRR7408413	0
SRR7408414	0
SRR7408418	0
SRR7408422	0
SRR7408424	0
SRR7408426	0
SRR7408427	0
SRR7408433	0
SRR7408437	0
SRR7408438	0
SRR7408444	0
SRR7408446	0
SRR7408448	0
SRR7408449	0
SRR7408454	0
SRR7408458	0
SRR7408460	0
SRR7408461	0
SRR7408462	0
SRR7408470	0
SRR7408472	0
SRR7408473	0
SRR7408474	0
SRR7408475	0
SRR7408482	0
SRR7408483	0
SRR7408485	0
SRR7408486	0
SRR7408487	0
SRR7408493	0
SRR7408494	0
SRR7408498	0
SRR7408517	0
SRR7408518	0
SRR7408519	0
SRR7408520	0
SRR7408521	0
SRR7408522	0
SRR7408523	0
SRR7408524	0
SRR7408525	0
SRR7408526	0
SRR7408527	0
SRR7408528	0
SRR7408529	0
SRR7408530	0
SRR7408531	0
SRR7408532	0
SRR7408533	0
SRR7408534	0
SRR7408535	0
SRR7408536	0
SRR7408537	0
SRR7408538	0
SRR7408539	0
SRR7408540	0
SRR7408541	0
SRR7408542	0
SRR7408543	0
SRR7408544	0
SRR7408545	0
SRR7408546	0
SRR7408547	0
SRR7408548	0
SRR7408549	0
SRR7408550	0
SRR7408551	0
SRR7408552	0
SRR7408553	0
SRR7408554	0
SRR7408555	0
SRR7408556	0
SRR7408557	0
SRR7408558	0
SRR7408559	0
SRR7408560	0
SRR7408561	0
SRR7408562	0
SRR7408564	0
SRR7408566	0
SRR7408567	0
SRR7408569	0
SRR7408570	0
SRR7408571	0
SRR7408572	0
SRR7408573	0
SRR7408574	0
SRR7408575	0
SRR7408576	0
SRR7408577	0
SRR7408578	0
SRR7408579	0
SRR7408580	0
SRR7408581	0
SRR7408582	0
SRR7408583	0
SRR7408584	0
SRR7408585	0
SRR7408586	0
SRR7408587	0
SRR7408588	0
SRR7408589	0
SRR7408590	0
SRR7408591	0
SRR7408592	0
SRR7408593	0
SRR7408594	0
SRR7408595	0
SRR7408596	0
SRR7408598	0
SRR7408599	0
SRR7408600	0
SRR7408601	0
SRR7408602	0
SRR7408603	0
SRR7408604	0
SRR7408605	0
SRR7408606	0
SRR7408607	0
SRR7408608	0
SRR7408609	0
SRR7408610	0
SRR7408611	0
