GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Aamdc_9	4437	1754	2.562e-01	5.641e+00	5.441e+00	8.076e-01	-1.304e-01	1.000e+00	1.000e+00
Aamdc_10	8992	2105	2.507e-01	6.383e+00	4.464e+00	1.455e+00	2.075e-01	5.194e-01	7.810e-01
Aasdhppt_2	7341	1976	3.499e-01	5.453e+00	5.643e+00	3.947e-01	-1.146e+00	1.000e+00	1.000e+00
Abat_3	1841	599	2.176e-01	1.502e+00	6.247e+00	-8.503e-01	2.886e-01	4.474e-01	7.159e-01
Abca3_4	4244	1021	4.435e-01	3.373e+00	4.985e+00	-8.379e-03	6.001e-01	2.733e-01	5.395e-01
Abhd10_1	43628	1896	5.565e-01	-8.139e+00	4.079e+00	-9.569e-02	4.688e-01	3.329e-01	5.995e-01
Abhd10_2	11696	5590	4.904e-01	5.745e+00	4.497e+00	-4.431e-01	1.029e+00	1.513e-01	4.053e-01
Abhd14a_1	8808	2410	3.857e-01	-3.915e+00	7.125e+00	8.946e-01	-1.170e+00	1.000e+00	1.000e+00
Abhd14a_3	8648	2250	3.829e-01	-4.106e+00	6.980e+00	8.384e-01	5.127e-01	3.112e-01	5.804e-01
Abi1_8	9008	1386	5.840e-01	-1.665e+00	4.980e+00	-2.030e+00	1.439e+00	8.980e-02	3.344e-01
Abi2_2	7939	3530	6.474e-01	4.827e+00	4.304e+00	3.803e-01	1.201e-01	6.240e-01	8.803e-01
Abi2_7	5662	1003	6.143e-01	-2.096e+00	4.208e+00	3.712e-01	4.224e-01	3.580e-01	6.230e-01
Ablim1_3	1877	548	1.708e-01	1.654e+00	6.296e+00	2.828e+00	1.301e+00	1.067e-01	3.548e-01
Ablim1_7	671	321	1.460e-01	-5.967e+00	6.141e+00	3.129e+00	8.399e-01	1.949e-01	4.455e-01
Ablim3_5	4452	2110	3.609e-01	7.110e+00	2.399e+00	1.742e+00	2.659e-01	4.659e-01	7.337e-01
Abtb1_1	3209	923	3.085e-01	2.213e+00	6.180e+00	4.521e-01	8.984e-01	1.801e-01	4.369e-01
