GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Aamdc_9	4303	1616	3.340e-01	4.728e+00	4.072e+00	1.943e+00	8.074e-01	2.038e-01	3.225e-01
Aamdc_10	8369	1917	3.237e-01	5.757e+00	3.824e+00	8.307e-01	-7.324e-02	1.000e+00	1.000e+00
Aasdhppt_2	8760	2440	4.357e-01	4.647e+00	4.517e+00	1.195e+00	9.209e-01	1.747e-01	2.861e-01
Abat_3	2909	1028	3.174e-01	1.053e+00	3.564e+00	3.044e+00	4.656e+00	2.278e-03	8.629e-03
Abca3_4	4663	1090	5.207e-01	2.980e+00	4.138e+00	5.542e-01	5.522e-01	2.933e-01	4.142e-01
Abhd10_1	46169	2005	6.598e-01	-7.977e+00	3.913e+00	1.151e+00	1.056e+00	1.462e-01	2.504e-01
Abhd10_2	12338	6061	5.830e-01	4.764e+00	3.326e+00	3.378e+00	1.018e+01	6.398e-06	5.060e-05
Abhd14a_1	13774	3794	5.436e-01	-3.797e+00	5.993e+00	4.955e-01	1.553e+00	7.798e-02	1.569e-01
Abhd14a_3	13509	3529	5.415e-01	-3.943e+00	5.811e+00	6.168e-01	4.502e-01	3.427e-01	4.662e-01
Abi1_8	10442	1589	6.784e-01	-1.424e+00	3.700e+00	-7.315e-01	3.389e-01	4.104e-01	5.440e-01
Abi2_2	8718	3841	7.137e-01	4.398e+00	3.730e+00	-2.070e-01	6.919e-01	2.395e-01	3.602e-01
Abi2_7	6015	1026	6.680e-01	-1.840e+00	3.378e+00	-4.114e-01	4.033e-01	3.691e-01	4.957e-01
Ablim1_3	4392	1333	3.610e-01	9.398e-01	3.863e+00	3.275e+00	4.932e+00	1.685e-03	6.754e-03
Ablim1_7	1768	820	3.216e-01	-5.308e+00	4.850e+00	-9.190e-01	7.114e-01	2.329e-01	3.530e-01
Ablim2_4	3432	1364	3.133e-01	6.135e-01	3.418e+00	6.221e+00	1.143e+01	1.738e-06	1.670e-05
Ablim2_6	3647	698	2.988e-01	-8.375e+00	3.582e+00	3.544e+00	2.073e+00	4.176e-02	9.505e-02
Ablim2_8	1577	405	2.988e-01	-6.942e+00	3.655e+00	1.515e+00	-2.316e-01	1.000e+00	1.000e+00
Ablim2_nmdSE_1	1541	557	2.407e-01	-5.852e+00	3.192e+00	-1.177e+00	1.562e-01	5.762e-01	7.128e-01
Ablim3_5	9608	4778	6.017e-01	7.492e+00	2.639e+00	-1.016e+00	7.900e-01	2.087e-01	3.275e-01
Abtb1_1	3558	991	3.610e-01	2.090e+00	5.830e+00	-1.381e+00	5.762e-01	2.831e-01	4.058e-01
Acad8_2	4954	1893	2.739e-01	6.044e+00	3.568e+00	4.711e-01	-3.508e-01	1.000e+00	1.000e+00
Acad9_1	7731	2878	5.083e-01	5.603e+00	4.221e+00	-1.374e+00	1.000e+00	1.573e-01	2.672e-01
Acbd5_5	5878	2574	5.311e-01	5.458e+00	3.275e+00	2.588e-01	3.652e-01	3.927e-01	5.240e-01
Acin1_7	2641	1035	6.826e-01	-4.177e+00	2.905e+00	-3.930e-01	5.839e-01	2.799e-01	4.035e-01
Acin1_12	3827	1051	4.398e-01	-2.534e+00	5.313e+00	6.274e-01	-4.253e-01	1.000e+00	1.000e+00
Acly_6	25810	3664	9.149e-01	-9.090e-01	1.675e+00	-6.525e-01	6.869e+00	2.101e-04	1.136e-03
