	C_score	pvals
Aamdc_10	0.08689794562000708	0.013493253373313344
Aasdhppt_2	0.19294628381492918	0.0004997501249375312
Abat_3	0.44218493950062754	0.0004997501249375312
Abca3_4	0.055038444608699444	0.017491254372813594
Abhd10_2	0.004814701834766177	0.8710644677661169
Abhd14a_1	0.026408262253421855	0.05147426286856572
Abhd14a_3	0.03000300132353695	0.031984007996002
Abi1_8	0.019769580567258416	0.07246376811594203
Abi2_2	0.4289374395074853	0.0004997501249375312
Abi2_7	0.0018625867699906262	0.862568715642179
Ablim1_3	0.33111046047277437	0.0004997501249375312
Ablim1_7	0.0633243549847069	0.06896551724137931
Ablim2_4	0.4944613085693743	0.0004997501249375312
Ablim2_6	0.38423717679672376	0.0004997501249375312
Ablim2_nmdSE_1	0.03237691520886288	0.4257871064467766
Ablim3_5	0.39725654001568433	0.0004997501249375312
Abtb1_1	0.0236100174062428	0.1724137931034483
Acad8_2	0.08444148471260804	0.10494752623688156
Acad9_1	0.04260351537775964	0.21139430284857572
Acbd5_5	0.03744684044657942	0.2733633183408296
Acin1_12	0.030176998933594823	0.0944527736131934
Acin1_7	0.030789056242497614	0.35282358820589704
Acly_6	0.049929268156393314	0.0004997501249375312
Acot8_1	0.11994583691254856	0.0004997501249375312
Acsf3_1	0.11087744765636176	0.0029985007496251873
Acsl3_1	0.010206974078183606	0.1629185407296352
Actl6b_4	0.008499882954405402	0.5027486256871564
Actr3b_2	0.05886792676682684	0.009495252373813094
Adamts10_3	0.0184032944063387	0.5562218890554723
Adck4_2	0.0833464130499062	0.022988505747126436
Adcyap1r1_3	0.20128071381093882	0.0004997501249375312
Adcyap1r1_4	0.21618076349690474	0.0004997501249375312
Add1_2	0.3543207187798123	0.0004997501249375312
Add1_4	0.4160496493509278	0.0004997501249375312
Add1_6	0.045584761162034027	0.0074962518740629685
Add1_7	0.01760770189003824	0.2748625687156422
Adgrb3_4	0.061911013012937444	0.00849575212393803
Adgrl2_10	0.05680856225270081	0.005997001499250375
Adgrl2_16	0.2361929371695768	0.0004997501249375312
Adgrl2_21	0.02652422396336762	0.13093453273363317
Adgrl2_7	0.06559466875751385	0.1934032983508246
Adpgk_1	0.051669468469659474	0.2063968015992004
Adprm_1	0.1683783310145307	0.0004997501249375312
Adsl_4	0.08560597405632653	0.0074962518740629685
Aen_1	0.029658985364934276	0.14042978510744628
Aen_2	0.029177570079723103	0.14392803598200898
Afap1_1	0.06841140804876833	0.10144927536231885
Afg3l1_1	0.12174028048669983	0.0009995002498750624
Agbl5_3	0.12359709573151756	0.010994502748625687
Agrn_10	0.13245049810335818	0.0004997501249375312
Agrn_11	0.2174706578959028	0.0004997501249375312
Agrn_7	0.09691849600722602	0.0004997501249375312
Agrn_8	0.017052167107943883	0.5567216391804098
Agtpbp1_6	0.03975354319115232	0.15642178910544727
Agtpbp1_8	0.06791405974762721	0.1024487756121939
Ahi1_2	0.13886504620190065	0.0004997501249375312
Aktip_3	0.0774426613964524	0.005497251374312844
Alcam_1	0.18953545888876477	0.0004997501249375312
Aldh3a2_2	0.05415379685216015	0.28335832083958024
Aldh4a1_1	0.026557840912277086	0.4267866066966517
Aldh7a1_7	0.32555750500052205	0.0004997501249375312
Alg3_2	0.08165280107771888	0.008995502248875561
Alg3_5	0.06826218766735226	0.018490754622688656
Alkbh3_3	0.012388603206787363	0.5232383808095952
Alkbh7_2	0.13009516917795694	0.0004997501249375312
Ambra1_7	0.011406610123108285	0.5567216391804098
Amn1_3	0.026122592577828452	0.1729135432283858
Amn1_5	0.06885109830839875	0.004497751124437781
Anapc15_1	0.0046103636665619785	0.9240379810094953
Angel2_1	0.04369001350707036	0.27886056971514245
Angel2_3	0.049542282381786595	0.08945527236381809
Ank2_11	0.21571503100236245	0.0004997501249375312
Ank2_13	0.08238887826591934	0.0004997501249375312
Ank2_14	0.07267128071606321	0.0004997501249375312
Ank2_3	0.23279848778324186	0.0004997501249375312
Ank2_9	0.15256425456902956	0.0004997501249375312
Ank3_10	0.29401955236765454	0.0004997501249375312
Ankrd12_2	0.06255838981465323	0.0009995002498750624
Ankrd16_nmdSE_1	0.025862250107685614	0.07646176911544228
