	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.026623050085878334	0.8981018981018981	0.9396981965403017	0.9013032595808703	0.9366392472800681
Aftph_4	mean_1_var_1	0.006682814555629712	0.0939060939060939	0.17479898378774783	0.09369742444334878	0.177569570823048
Agrn_8	mean_1_var_1	0.04035168571345382	0.000999000999000999	0.0033547533547533545	3.841465015808524e-05	0.00015876990543507995
Agtpbp1_11	mean_1_var_1	-0.00010451737402428301	0.2097902097902098	0.32280413085366644	0.21564646525807168	0.3328456311591976
Aldh3a2_2	mean_1_var_1	0.005340456022328785	0.10789210789210789	0.19393264962885215	0.1125192292998779	0.20465528622887216
Angel2_1	mean_1_var_1	0.037412128841495446	0.000999000999000999	0.0033547533547533545	9.806138128723916e-05	0.0003807539570293583
Ankfy1_5	mean_1_var_1	-5.943104175476742e-06	0.2097902097902098	0.32280413085366644	0.21339461179496055	0.3301389013606082
Arfip2_nmdSE_1	mean_1_var_1	-0.006014265747307571	0.38461538461538464	0.5073758358429892	0.3728409062144161	0.4971845622186583
Arhgef40_7	mean_1_var_1	-0.02426104077827313	0.8661338661338661	0.9158904924862372	0.8652260193551011	0.9120197913456739
Armc9_4	mean_1_var_1	0.001616706542061364	0.18581418581418582	0.29814253543067104	0.17833561919502022	0.2934861017878313
B4galt3_1	mean_1_var_1	0.013574441481961946	0.01898101898101898	0.04624297271356095	0.03159631278765429	0.0734342363110565
Bclaf1_1	mean_1_var_1	0.040119839540098554	0.000999000999000999	0.0033547533547533545	4.143734867933727e-05	0.00017004930701763874
Btrc_1	mean_1_var_1	-0.012110787823932467	0.6103896103896104	0.7154802744425386	0.5607715714184176	0.6656537656297818
Cacna1e_2	mean_1_var_1	-0.009150122027640727	0.5074925074925075	0.6243162777816244	0.4685763628488595	0.5866056733901339
Camk2d_1	mean_1_var_1	0.020179929815362395	0.006993006993006993	0.02014796797405493	0.008775849819710344	0.023576201948086708
Camta1_5	mean_1_var_1	0.045810825166093146	0.000999000999000999	0.0033547533547533545	5.894655553709003e-06	2.6572732972275505e-05
Ccdc127_2	mean_1_var_1	0.0076546283181481095	0.08591408591408592	0.1615867576132477	0.08159794257534503	0.1590359900390058
Ccdc136_17	mean_1_var_1	0.042060902653413404	0.000999000999000999	0.0033547533547533545	2.1766031004449802e-05	9.305563362762625e-05
Chtf8_3	mean_1_var_1	0.020768976007746878	0.006993006993006993	0.02014796797405493	0.007737758115528185	0.021159096469972535
Ciz1_2	mean_1_var_1	-0.012113332830845648	0.6103896103896104	0.7154802744425386	0.5608501294918937	0.6656537656297818
Clcn4_nmdSE_1	mean_1_var_1	0.0006905015093003568	0.1958041958041958	0.307471359604061	0.19787975385958273	0.31320457856118666
Clip1_11	mean_1_var_1	0.006306483592225694	0.1048951048951049	0.190613773794761	0.09872266180691958	0.18439019628674955
Cyb5r4_1	mean_1_var_1	0.011316672141572856	0.03896103896103896	0.08474239108812412	0.04637319785942373	0.10075400802681353
Dcaf11_1	mean_1_var_1	-0.04116449308899176	0.986013986013986	0.990498132489037	0.9923959501739458	0.9969466568257385
Dcun1d2_7	mean_1_var_1	-0.018352496196194324	0.7382617382617382	0.8217605462846225	0.7394191606114736	0.8130339000528815
Dhcr7_5	mean_1_var_1	0.010324480288208827	0.055944055944055944	0.11548990988243325	0.054421900605877635	0.11497421722049388
Dis3l2_7	mean_1_var_1	-0.014955725804234222	0.6653346653346653	0.7627942991264791	0.6464079931450043	0.7406680636151404
Dlg4_3	mean_1_var_1	0.022061222210728152	0.006993006993006993	0.02014796797405493	0.005830862115400086	0.016583338891867486
Dnajc17_1	mean_1_var_1	-0.015358218377654257	0.6653346653346653	0.7627942991264791	0.6580509842920821	0.7496736076420972
Dnajc5_1	mean_1_var_1	-0.013312386313044182	0.6413586413586414	0.7443204781208285	0.5975429645356126	0.7016629731227394
Dram2_1	mean_1_var_1	0.012818541616959429	0.01898101898101898	0.04624297271356095	0.03603636712454017	0.0815948722592094
Ece2_4	mean_1_var_1	-0.0006106375560969421	0.21678321678321677	0.328740356075208	0.22742324673461667	0.3464501260600904
Elovl6_2	mean_1_var_1	-0.011778866237822191	0.6083916083916084	0.7154802744425386	0.5505065888765992	0.6573467637860192
Epb41l4aos_1	mean_1_var_1	-0.019273645989548324	0.7532467532467533	0.8309958631823227	0.7622836391744061	0.8285166012925523
Epn2_5	mean_1_var_1	0.011475788733165094	0.03896103896103896	0.08474239108812412	0.04517622705554304	0.09858434619804564
Eri3_5	mean_1_var_1	-0.010841091228575142	0.5764235764235764	0.6874205578464727	0.5213443678780412	0.6308171657587011
Exoc6b_6	mean_1_var_1	-0.004249548330056563	0.3006993006993007	0.4171599510050312	0.321865432072158	0.4449711258410641
Fam13b_8	mean_1_var_1	-0.00489776040580316	0.34865134865134867	0.46832356832356836	0.3402636481195002	0.46395345161973006
Fam160a2_2	mean_1_var_1	-0.016681282909988746	0.7042957042957043	0.7968923506772112	0.6952283145762148	0.7790946388824774
Fam189b_2	mean_1_var_1	-0.009325158057185047	0.5174825174825175	0.6346423471654811	0.4740287313016205	0.5919404006454909
Fam189b_3	mean_1_var_1	-0.015054094379104441	0.6653346653346653	0.7627942991264791	0.6492667029453054	0.7430870497727503
Fam49b_1	mean_1_var_1	-0.0003176053137917861	0.21678321678321677	0.328740356075208	0.2205611020904431	0.33806898300370153
Fbxl5_7	mean_1_var_1	0.0312766701735699	0.000999000999000999	0.0033547533547533545	0.0005900500474382975	0.0020120402989834228
Fbxo42_3	mean_1_var_1	-0.008966982368887603	0.4975024975024975	0.6162211620155545	0.4628778861705831	0.5825228762597945
Flcn_1	mean_1_var_1	0.02951155232090422	0.000999000999000999	0.0033547533547533545	0.0009499002571112154	0.003136879918832386
Fnbp4_6	mean_1_var_1	-0.008158900698625394	0.47152847152847155	0.5914186759612627	0.4378405709323147	0.5612037749925478
Gfra2_1	mean_1_var_1	-0.018225434502741465	0.7382617382617382	0.8217605462846225	0.7361787187896178	0.8112152261837423
Gfra2_3	mean_1_var_1	0.00996152366206034	0.055944055944055944	0.11548990988243325	0.057628486456861715	0.12072226667675563
Gpatch8_3	mean_1_var_1	-0.0322120647862138	0.945054945054945	0.9610072791658469	0.9578755075469687	0.9750417352807853
Gria3_nmdSE_2	mean_1_var_1	0.015179515464695313	0.01898101898101898	0.04624297271356095	0.023656560616697055	0.05707432342960406
Gtf2i_10	mean_1_var_1	0.005890565575893153	0.1048951048951049	0.190613773794761	0.10450286135502956	0.1930091843601488
Ints10_3	mean_1_var_1	0.034647744208774985	0.000999000999000999	0.0033547533547533545	0.00022612657489513497	0.0008371315286620639
Isy1_3	mean_1_var_1	0.005856917264874295	0.1048951048951049	0.190613773794761	0.10498099004209094	0.1934218797068367
Isyna1_3	mean_1_var_1	0.015004735793993291	0.01898101898101898	0.04624297271356095	0.024430426797409095	0.058798654325967654
Josd2_9	mean_1_var_1	0.013424400512503626	0.01898101898101898	0.04624297271356095	0.03243972523059357	0.07481458672670535
Josd2_nmdSE_4	mean_1_var_1	0.013736889575787788	0.01898101898101898	0.04624297271356095	0.030703674191958387	0.07157653241759752
Kcna6_1	mean_1_var_1	0.01732168021913604	0.006993006993006993	0.02014796797405493	0.015730797372406197	0.04004202967521578
Kctd20_3	mean_1_var_1	0.0033906719120254066	0.11388611388611389	0.20124941724941728	0.14443567754956682	0.24860443893379985
Klhl26_2	mean_1_var_1	0.013910599872309175	0.01898101898101898	0.04624297271356095	0.029772357547503844	0.06987892184703381
Lmbr1_11	mean_1_var_1	0.00025910022253622557	0.2017982017982018	0.31415413091215755	0.20740830827148404	0.3236481293906674
Lrrc45_5	mean_1_var_1	0.0008021034962354576	0.1958041958041958	0.307471359604061	0.19545848851930753	0.3106086931865574
Lsm5_3	mean_1_var_1	0.03268332520059218	0.000999000999000999	0.0033547533547533545	0.000398598389900961	0.001422645599861958
Lztfl1_3	mean_1_var_1	0.016234652474100088	0.01898101898101898	0.04624297271356095	0.01941011036489099	0.04799415348930757
Lztfl1_5	mean_1_var_1	0.013542502684405208	0.01898101898101898	0.04624297271356095	0.031774312859526706	0.07345038833109196
Map7d2_4	mean_1_var_1	-0.014117044482811791	0.6513486513486514	0.7524004177112835	0.6217137565289487	0.7202604591955419
Mapk8ip3_4	mean_1_var_1	-0.0013415114402944184	0.23876123876123875	0.3505593372653934	0.2450519944553019	0.3654638897052815
Mast2_6	mean_1_var_1	-0.0020435044642088747	0.26573426573426573	0.3792388516006607	0.26265285478674993	0.383091617986837
Mia3_4	mean_1_var_1	0.0038714833764982334	0.10789210789210789	0.19393264962885215	0.13604964006455583	0.2378774709308153
Miat_5	mean_1_var_1	0.00938939151479384	0.06293706293706294	0.12549536722054278	0.06298255912746055	0.12961628110288984
Mllt10_22	mean_1_var_1	0.017363931521774612	0.006993006993006993	0.02014796797405493	0.015600776843033168	0.03976197995378197
Mroh1_10	mean_1_var_1	-0.020782709042648707	0.7902097902097902	0.8551644327365612	0.7972402434450475	0.8550810898153098
Mtmr7_6	mean_1_var_1	-0.0010604351692677617	0.21678321678321677	0.328740356075208	0.23818675288253083	0.3571005013050311
Nadk_4	mean_1_var_1	0.024321639086412144	0.006993006993006993	0.02014796797405493	0.003475586075590669	0.01032804950414686
Ncoa5_3	mean_1_var_1	-0.005536875792388071	0.3626373626373626	0.4835164835164835	0.35878409223801355	0.4832432276425201
Nf2_4	mean_1_var_1	-0.0009094891840409113	0.21678321678321677	0.328740356075208	0.23454387110690572	0.35350509155460846
Nfasc_6	mean_1_var_1	0.004097510076399976	0.10789210789210789	0.19393264962885215	0.13222489495110035	0.23282824726553367
Nrxn1_3	mean_1_var_1	0.027467127111741187	0.000999000999000999	0.0033547533547533545	0.0016125934033222541	0.005064511351982055
Odf2_1	mean_1_var_1	-0.00395936608277004	0.29270729270729273	0.4077800265606853	0.31376526412568995	0.43681046574360755
Odf2_12	mean_1_var_1	-0.010064765397105461	0.5454545454545454	0.6552046141170008	0.49710910687367754	0.6119213030742235
Oraov1_1	mean_1_var_1	-0.006015869296023076	0.38461538461538464	0.5073758358429892	0.3728884216639937	0.4971845622186583
Pccb_4	mean_1_var_1	-0.012653888562169724	0.6243756243756243	0.7297229519451741	0.5774765975994837	0.6810997396980136
