cellID	neuro
SRR4047279	1
SRR4047280	1
SRR4047281	1
SRR4047282	1
SRR4047283	1
SRR4047284	1
SRR4047285	1
SRR4047286	1
SRR4047287	1
SRR4047288	1
SRR4047289	1
SRR4047290	1
SRR4047291	1
SRR4047292	1
SRR4047293	1
SRR4047294	1
SRR4047296	1
SRR4047297	1
SRR4047298	1
SRR4047299	1
SRR4047300	1
SRR4047301	1
SRR4047302	1
SRR4047303	1
SRR4047304	1
SRR4047305	1
SRR4047306	1
SRR4047307	1
SRR4047308	1
SRR4047309	1
SRR4047310	1
SRR4047311	1
SRR4047312	1
SRR4047313	1
SRR4047314	1
SRR4047316	1
SRR4047317	1
SRR4047318	1
SRR4047319	1
SRR4047320	1
SRR4047321	1
SRR4047322	1
SRR4047324	1
SRR4047325	1
SRR4047326	1
SRR4047327	1
SRR4047328	1
SRR4047329	1
SRR4047330	1
SRR4047333	1
SRR4047334	1
SRR4047335	1
SRR4047336	1
SRR4047337	1
SRR4047338	1
SRR4047339	1
SRR4047340	1
SRR4047341	1
SRR4047342	1
SRR4047343	1
SRR4047344	1
SRR4047345	1
SRR4047346	1
SRR4047347	1
SRR4047348	1
SRR4047349	1
SRR4047350	1
SRR4047351	1
SRR4047352	1
SRR4047353	1
SRR4047396	0
SRR4047397	0
SRR4047398	0
SRR4047399	0
SRR4047400	0
SRR4047401	0
SRR4047402	0
SRR4047403	0
SRR4047404	0
SRR4047405	0
SRR4047406	0
SRR4047407	0
SRR4047408	0
SRR4047409	0
SRR4047410	0
SRR4047411	0
SRR4047412	0
SRR4047414	0
SRR4047415	0
SRR4047416	0
SRR4047417	0
SRR4047418	0
SRR4047419	0
SRR4047420	0
SRR4047421	0
SRR4047422	0
SRR4047423	0
SRR4047424	0
SRR4047425	0
SRR4047426	0
SRR4047427	0
SRR4047428	0
SRR4047429	0
SRR4047430	0
SRR4047431	0
SRR4047432	0
SRR4047433	0
SRR4047434	0
SRR4047435	0
SRR4047436	0
SRR4047437	0
SRR4047438	0
SRR4047439	0
SRR4047440	0
SRR4047441	0
SRR4047442	0
SRR4047443	0
SRR4047444	0
SRR4047445	0
SRR4047446	0
SRR4047447	0
SRR4047448	0
SRR4047449	0
SRR4047450	0
SRR4047451	0
SRR4047452	0
SRR4047453	0
SRR4047454	0
SRR4047455	0
SRR4047456	0
SRR4047457	0
SRR4047458	0
