cellID	neuro
SRR2727045	0
SRR2727046	0
SRR2727047	0
SRR2727048	0
SRR2727049	0
SRR2727050	0
SRR2727051	0
SRR2727052	0
SRR2727053	0
SRR2727054	0
SRR2727055	0
SRR2727056	0
SRR2727057	0
SRR2727058	0
SRR2727059	0
SRR2727060	0
SRR2727061	0
SRR2727062	0
SRR2727063	0
SRR2727064	0
SRR2727065	0
SRR2727066	0
SRR2727067	0
SRR2727068	0
SRR2727069	0
SRR2727070	0
SRR2727071	0
SRR2727072	0
SRR2727073	0
SRR2727074	0
SRR2727075	0
SRR2727076	0
SRR2727077	0
SRR2727078	0
SRR2727079	0
SRR2727080	0
SRR2727081	0
SRR2727082	0
SRR2727083	0
SRR2727084	0
SRR2727085	0
SRR2727086	0
SRR2727087	0
SRR2727088	0
SRR2727089	0
SRR2727090	0
SRR2727091	0
SRR2727092	0
SRR2727093	0
SRR2727094	0
SRR2727095	0
SRR2727096	0
SRR2727097	0
SRR2727098	0
SRR2727099	0
SRR2727100	0
SRR2727101	0
SRR2727102	0
SRR2727103	0
SRR2727104	0
SRR2727105	0
SRR2727106	0
SRR2727107	0
SRR2727108	0
SRR2727109	0
SRR2727110	0
SRR2727111	0
SRR2727112	0
SRR2727113	0
SRR2727114	0
SRR2727115	0
SRR2727116	0
SRR2727117	0
SRR2727118	0
SRR2727119	0
SRR2727120	0
SRR2727121	0
SRR2727122	0
SRR2727123	0
SRR2727124	0
SRR2727125	0
SRR2727126	0
SRR2727127	0
SRR2727128	0
SRR2727129	0
SRR2727130	0
SRR2727131	0
SRR2727132	0
SRR2727133	0
SRR2727134	0
SRR2727135	0
SRR2727136	0
SRR2727137	0
SRR2727138	0
SRR2727139	0
SRR2727140	0
SRR2727141	0
SRR2727142	0
SRR2727143	0
SRR2727144	0
SRR2727145	0
SRR2727146	0
SRR2727147	0
SRR2727148	0
SRR2727149	0
SRR2727150	0
SRR2727151	0
SRR2727152	0
SRR2727153	0
SRR2727154	0
SRR2727155	0
SRR2727276	1
SRR2727277	1
SRR2727278	1
SRR2727279	1
SRR2727280	1
SRR2727281	1
SRR2727282	1
SRR2727283	1
SRR2727284	1
SRR2727285	1
SRR2727286	1
SRR2727287	1
SRR2727288	1
SRR2727289	1
SRR2727290	1
SRR2727291	1
SRR2727292	1
SRR2727293	1
SRR2727294	1
SRR2727295	1
SRR2727296	1
SRR2727297	1
SRR2727298	1
SRR2727299	1
SRR2727300	1
SRR2727301	1
SRR2727302	1
SRR2727303	1
SRR2727304	1
SRR2727305	1
SRR2727306	1
SRR2727307	1
SRR2727308	1
SRR2727309	1
SRR2727310	1
SRR2727311	1
SRR2727312	1
SRR2727313	1
SRR2727314	1
SRR2727315	1
SRR2727316	1
SRR2727317	1
SRR2727318	1
SRR2727319	1
SRR2727320	1
SRR2727321	1
SRR2727322	1
SRR2727323	1
SRR2727324	1
SRR2727325	1
SRR2727326	1
SRR2727327	1
SRR2727328	1
SRR2727329	1
SRR2727330	1
SRR2727331	1
SRR2727332	1
SRR2727333	1
SRR2727334	1
SRR2727335	1
SRR2727336	1
SRR2727337	1
SRR2727338	1
SRR2727339	1
SRR2727340	1
SRR2727341	1
SRR2727342	1
SRR2727343	1
SRR2727344	1
SRR2727345	1
SRR2727346	1
SRR2727347	1
SRR2727348	1
SRR2727349	1
SRR2727350	1
SRR2727351	1
SRR2727352	1
SRR2727353	1
SRR2727354	1
SRR2727355	1
SRR2727356	1
SRR2727357	1
SRR2727358	1
SRR2727359	1
SRR2727360	1
SRR2727361	1
SRR2727362	1
SRR2727363	1
SRR2727364	1
SRR2727365	1
SRR2727366	1
SRR2727367	1
SRR2727368	1
SRR2727369	1
SRR2727370	1
SRR2727371	1
SRR2727372	1
SRR2727373	1
SRR2727374	1
SRR2727375	1
SRR2727376	1
SRR2727377	1
SRR2727378	1
SRR2727379	1
SRR2727380	1
SRR2727381	1
SRR2727382	1
SRR2727383	1
SRR2727384	1
SRR2727385	1
SRR2727386	1
SRR2727387	1
SRR2727388	1
SRR2727389	1
SRR2727390	1
SRR2727391	1
SRR2727392	1
SRR2727393	1
SRR2727394	1
SRR2727395	1
SRR2727396	1
SRR2727397	1
SRR2727398	1
SRR2727399	1
SRR2727400	1
SRR2727401	1
SRR2727402	1
SRR2727403	1
SRR2727404	1
SRR2727405	1
SRR2727406	1
SRR2727407	1
SRR2727408	1
SRR2727409	1
SRR2727410	1
SRR2727411	1
SRR2727412	1
SRR2727413	1
SRR2727414	1
SRR2727415	1
SRR2727416	1
SRR2727417	1
SRR3211906	1
SRR3211907	1
SRR3211908	1
SRR3211909	1
SRR3211910	1
SRR3211911	1
SRR3211912	1
SRR3211913	1
SRR3211914	1
SRR3211915	1
SRR3211916	1
SRR3211917	1
SRR3211918	1
SRR3211919	1
SRR3211920	1
SRR3211921	1
SRR3211922	1
SRR3211923	1
SRR3211924	1
SRR3211925	1
SRR3211926	1
SRR3211927	1
SRR3211928	1
SRR3211929	1
SRR3211930	1
SRR3211931	1
SRR3211932	1
SRR3211933	1
SRR3211934	1
SRR3211935	1
SRR3211936	1
SRR3211937	1
SRR3211938	1
SRR3211939	1
SRR3211940	1
SRR3211941	1
SRR3211942	1
SRR3211943	1
SRR3211944	1
SRR3211945	1
SRR3211946	1
