GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
AA467197_1	7757	3562	4.078e-01	3.807e+00	1.606e+00	-1.775e-02	4.947e+00	1.659e-03	7.173e-03
AA986860_1	2660	960	3.258e-01	2.955e+00	2.596e+00	-8.217e-03	7.793e-01	2.119e-01	3.514e-01
Aaed1_1	2711	1210	5.963e-01	5.603e+00	2.008e+00	-6.482e-03	2.521e-01	4.777e-01	6.359e-01
Aak1_5	790	221	1.639e-01	2.424e+00	3.510e+00	-4.735e-04	-1.524e-01	1.000e+00	1.000e+00
Aamdc_9	7020	2201	7.275e-01	8.036e-01	2.918e+00	-7.789e-04	6.348e-02	7.216e-01	8.774e-01
Aamdc_10	15663	3138	7.500e-01	4.244e+00	3.098e+00	-1.044e-02	3.776e+00	5.992e-03	2.054e-02
Aamdc_13	11670	1405	7.582e-01	2.389e+00	3.474e+00	-1.046e-02	2.696e+00	2.022e-02	5.905e-02
Aamdc_nmdSE_2	5434	695	7.131e-01	-4.434e+00	3.719e+00	2.158e-03	-6.013e-01	1.000e+00	1.000e+00
Aar2_3	28725	1269	8.750e-01	-3.128e+00	1.984e+00	-9.746e-03	4.769e+00	2.014e-03	8.424e-03
Aar2_4	28625	1169	8.750e-01	-3.328e+00	2.057e+00	-8.408e-03	4.602e+00	2.415e-03	9.692e-03
Aar2_5	28562	1106	8.750e-01	-3.112e+00	1.649e+00	-7.985e-03	4.688e+00	2.197e-03	9.091e-03
Aars2_2	4490	1606	6.742e-01	4.273e+00	4.680e-01	-1.655e-03	-8.521e-02	1.000e+00	1.000e+00
Aasdh_3	3687	1589	5.410e-01	3.758e+00	1.813e+00	5.918e-03	4.094e-01	3.655e-01	5.233e-01
Aasdh_4	1668	225	4.754e-01	-2.904e+00	3.157e+00	1.081e-02	9.633e-01	1.651e-01	2.903e-01
Aasdhppt_2	51855	12917	9.672e-01	2.433e+00	1.016e+00	2.921e-04	-5.078e-01	1.000e+00	1.000e+00
Abat_3	537	195	1.250e-01	2.985e+00	2.884e+00	-5.957e-03	2.580e-01	4.725e-01	6.315e-01
Abca3_4	694	150	1.824e-01	2.435e+00	3.040e+00	2.048e-03	-2.756e-01	1.000e+00	1.000e+00
Abcc10_1	1409	427	2.848e-01	5.049e+00	1.994e+00	-2.510e-02	3.899e+00	5.228e-03	1.817e-02
Abcd3_1	3884	826	7.664e-01	1.432e+00	8.235e-01	-2.332e-03	8.813e-01	1.843e-01	3.159e-01
Abcd4_4	5669	1965	7.172e-01	5.138e+00	9.076e-01	-8.276e-03	8.774e-01	1.853e-01	3.169e-01
Abcd4_5	5288	3117	7.131e-01	4.143e+00	1.738e+00	-8.434e-03	1.837e+00	5.524e-02	1.275e-01
Abcg2_5	9634	644	8.033e-01	-3.805e+00	2.314e+00	-3.509e-03	-1.519e-01	1.000e+00	1.000e+00
Abhd10_1	40666	2040	9.611e-01	-3.577e+00	2.069e+00	3.481e-03	8.896e-01	1.822e-01	3.129e-01
Abhd10_2	19049	9115	9.283e-01	3.389e+00	1.755e+00	8.020e-04	-6.836e-01	1.000e+00	1.000e+00
Abhd14a_1	27895	11014	9.611e-01	8.811e-01	1.505e+00	3.539e-03	2.590e+00	2.285e-02	6.489e-02
Abhd14a_3	26163	9282	9.590e-01	4.294e-01	1.298e+00	2.684e-03	2.805e+00	1.786e-02	5.323e-02
Abhd18_nmdSE_1	467	88	1.824e-01	-5.972e+00	2.549e+00	2.150e-02	2.326e+00	3.102e-02	8.301e-02
Abhd5_1	10616	2176	7.172e-01	4.890e+00	1.930e+00	-1.763e-03	-6.982e-02	1.000e+00	1.000e+00
Abhd5_nmdSE_2	12279	8058	7.193e-01	4.587e+00	2.228e+00	7.744e-03	1.768e+00	6.008e-02	1.358e-01
Abhd6_1	4126	1802	5.143e-01	2.871e+00	2.632e+00	1.768e-02	3.627e+00	7.071e-03	2.361e-02
Abi1_8	9978	2056	8.607e-01	3.004e+00	1.481e+00	-1.448e-02	1.997e+01	2.608e-10	4.609e-09
Abi1_9	5948	911	7.992e-01	-6.631e+00	1.554e+00	3.386e-02	4.739e+01	2.133e-22	2.429e-20
Abi2_2	3846	1663	6.004e-01	6.361e+00	6.450e-01	-2.421e-02	9.783e+00	9.714e-06	7.779e-05
Abi2_3	3436	641	5.697e-01	-9.000e+00	2.635e+00	4.632e-02	3.418e+01	1.359e-16	6.241e-15
Abi2_4	2430	310	5.574e-01	-7.057e+00	6.591e-01	3.596e-02	2.331e+01	8.603e-12	1.664e-10
Abi2_5	3265	470	5.697e-01	-8.456e+00	1.901e+00	4.459e-02	3.203e+01	1.212e-15	4.142e-14
Abi2_7	3468	481	5.943e-01	-2.415e+00	2.141e+00	5.355e-03	1.567e+00	7.669e-02	1.637e-01
Abl1_nmdSE_2	2189	64	4.242e-01	-4.333e+00	3.175e+00	-2.212e-02	9.205e-01	1.748e-01	3.022e-01
Ablim1_3	2415	363	4.406e-01	-8.542e+00	2.943e+00	2.131e-02	5.416e+00	9.973e-04	4.733e-03
Ablim1_6	2335	1229	4.385e-01	5.871e+00	2.095e+00	-2.779e-02	1.799e+01	1.991e-09	3.188e-08
Ablim1_7	2456	1350	4.406e-01	5.964e+00	2.078e+00	-2.731e-02	1.765e+01	2.813e-09	4.368e-08
