GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Aamdc_9	2506	950	2.519e-01	5.445e+00	5.246e+00	1.064e+00	-6.049e-01	1.000e+00	1.000e+00
Aamdc_10	4895	1120	2.406e-01	6.239e+00	4.421e+00	1.753e-01	8.613e-01	1.894e-01	4.164e-01
Aasdhppt_2	5288	1475	4.060e-01	5.127e+00	5.254e+00	2.521e+00	9.373e-01	1.710e-01	3.939e-01
Abat_3	1409	510	2.481e-01	1.193e+00	4.328e+00	7.793e+00	7.129e+00	1.594e-04	2.607e-03
Abca3_4	3197	779	4.925e-01	3.218e+00	4.692e+00	9.020e-02	9.062e-01	1.782e-01	4.041e-01
Abhd10_1	29513	1300	5.940e-01	-8.036e+00	3.997e+00	4.243e+00	4.074e+00	4.312e-03	3.421e-02
Abhd10_2	8028	3843	5.376e-01	5.057e+00	3.674e+00	3.853e+00	2.194e+00	3.618e-02	1.571e-01
Abhd14a_1	6797	1883	4.060e-01	-3.871e+00	6.357e+00	2.156e+00	1.876e+00	5.272e-02	1.994e-01
Abhd14a_3	6657	1743	4.023e-01	-4.026e+00	6.186e+00	2.259e+00	1.386e+00	9.593e-02	2.876e-01
Abi1_8	6305	1016	6.053e-01	-1.559e+00	4.416e+00	1.182e-01	1.193e+00	1.224e-01	3.345e-01
Abi2_2	5883	2571	7.143e-01	4.780e+00	4.309e+00	-4.297e-01	-1.953e-01	1.000e+00	1.000e+00
Abi2_7	4232	743	6.617e-01	-2.001e+00	3.920e+00	-1.357e+00	-2.346e-01	1.000e+00	1.000e+00
Ablim1_3	1917	538	2.105e-01	1.515e+00	5.867e+00	-9.468e-01	8.699e-01	1.872e-01	4.140e-01
Ablim1_7	706	307	1.729e-01	-5.972e+00	6.219e+00	3.235e+00	8.781e-01	1.851e-01	4.114e-01
Ablim2_4	986	356	1.391e-01	8.981e-01	5.118e+00	4.578e+00	1.598e+00	7.384e-02	2.453e-01
Ablim2_6	987	216	1.316e-01	-7.565e+00	2.982e+00	6.461e+00	7.130e+00	1.591e-04	2.607e-03
Ablim2_8	471	124	1.241e-01	-7.682e+00	4.251e+00	2.807e+00	6.582e-01	2.512e-01	4.757e-01
Ablim3_5	3468	1678	3.609e-01	7.264e+00	2.520e+00	1.712e+00	3.948e-01	3.742e-01	5.922e-01
Abtb1_1	2430	691	3.534e-01	1.959e+00	5.440e+00	-2.049e+00	8.903e-01	1.821e-01	4.102e-01
Acad8_2	3267	1215	2.669e-01	6.528e+00	4.060e+00	-4.055e+00	1.403e+00	9.390e-02	2.860e-01
Acad9_1	5221	2002	4.662e-01	5.662e+00	4.318e+00	1.176e+00	-3.276e-01	1.000e+00	1.000e+00
Acbd5_5	4133	1800	5.075e-01	5.625e+00	3.468e+00	3.360e+00	1.948e+00	4.842e-02	1.882e-01
Acin1_7	2020	809	7.556e-01	-4.181e+00	2.913e+00	-1.385e+00	1.736e+00	6.245e-02	2.195e-01
Acin1_12	2809	788	4.699e-01	-2.512e+00	5.266e+00	2.746e+00	1.004e+00	1.564e-01	3.799e-01
Acly_6	18777	2702	9.361e-01	-9.152e-01	1.759e+00	-8.692e-01	1.399e+00	9.433e-02	2.865e-01
Acot8_1	3832	1284	2.707e-01	8.304e-01	7.436e+00	9.175e-01	-3.140e-01	1.000e+00	1.000e+00
Acsf3_1	3041	841	2.932e-01	4.436e-01	6.875e+00	2.715e+00	8.813e-01	1.843e-01	4.110e-01
Acsl3_1	13967	2313	8.158e-01	-4.486e-01	4.882e+00	-4.599e-01	-3.145e-01	1.000e+00	1.000e+00
Acss2_2	5361	2510	3.120e-01	7.671e+00	3.618e+00	-5.139e+00	2.368e+00	2.955e-02	1.399e-01
Actl6b_4	22355	11005	9.511e-01	5.357e+00	2.863e+00	-2.514e-01	-3.320e-01	1.000e+00	1.000e+00
Actr3b_2	1121	285	1.917e-01	3.918e+00	4.217e+00	-1.307e+00	1.121e+00	1.344e-01	3.560e-01
Adamts10_3	3659	1508	4.549e-01	4.637e+00	3.456e+00	4.122e+00	1.237e+00	1.157e-01	3.259e-01
Adck4_2	3800	1878	3.308e-01	4.625e+00	3.784e+00	1.958e+00	1.049e+00	1.475e-01	3.695e-01
Adcyap1r1_3	4314	1442	4.398e-01	2.702e+00	5.726e+00	2.676e+00	8.220e-01	1.998e-01	4.272e-01
Adcyap1r1_4	3958	1086	4.361e-01	1.728e+00	5.517e+00	3.206e+00	8.298e-01	1.976e-01	4.260e-01
Add1_2	91208	4409	9.624e-01	7.680e+00	3.300e+00	-4.808e-01	1.895e-01	5.382e-01	7.495e-01
Add1_4	88682	1883	9.624e-01	4.826e+00	3.187e+00	4.117e-01	-1.255e+00	1.000e+00	1.000e+00
Add1_6	20026	3906	9.436e-01	-6.239e+00	3.892e+00	-1.545e-01	-1.875e-01	1.000e+00	1.000e+00
Add1_7	19572	3322	9.398e-01	-6.635e+00	4.325e+00	1.763e+00	2.223e+00	3.500e-02	1.544e-01
Adgrb2_3	1120	169	1.917e-01	-7.208e+00	3.447e+00	4.481e+00	3.904e+00	5.202e-03	3.959e-02
Adgrb3_4	13631	2402	5.376e-01	5.806e+00	5.100e+00	-2.773e+00	9.375e-02	6.650e-01	8.848e-01
Adgrl2_7	11169	170	6.165e-01	1.307e+00	2.638e+00	-6.365e-01	1.151e-01	6.314e-01	8.510e-01
Adgrl2_10	20282	564	6.504e-01	-1.662e+00	3.988e+00	9.315e-01	-4.658e-01	1.000e+00	1.000e+00
Adgrl2_16	3970	528	5.526e-01	-2.303e+00	3.779e+00	6.537e+00	8.550e+00	3.547e-05	7.408e-04
Adgrl2_21	2798	486	5.526e-01	-1.948e-01	3.366e+00	-1.347e+00	1.776e+00	5.951e-02	2.151e-01
Adpgk_1	4785	2405	3.308e-01	5.195e+00	4.152e+00	3.805e+00	7.490e-01	2.210e-01	4.471e-01
Adprm_1	6200	667	2.293e-01	3.892e+00	3.981e+00	8.791e-01	-4.182e-01	1.000e+00	1.000e+00
Adsl_4	4212	1636	4.060e-01	6.898e+00	3.283e+00	-1.640e-01	-3.271e-01	1.000e+00	1.000e+00
Aen_1	4429	2396	2.932e-01	1.654e+00	6.811e+00	2.733e-01	-9.380e-01	1.000e+00	1.000e+00
Aen_2	4752	2719	2.932e-01	1.309e+00	6.705e+00	2.041e-01	-8.430e-01	1.000e+00	1.000e+00
Afap1_1	7104	2522	6.015e-01	5.462e+00	4.162e+00	3.506e+00	1.583e+00	7.514e-02	2.470e-01
Afg3l1_1	6284	2057	5.188e-01	4.611e+00	4.966e+00	1.568e+00	-1.921e-01	1.000e+00	1.000e+00
Agbl5_3	6477	897	4.436e-01	-8.096e+00	4.286e+00	2.005e+00	1.817e+00	5.663e-02	2.075e-01
Agrn_7	17092	1000	8.346e-01	3.308e-01	3.199e+00	3.805e+00	2.613e+00	2.226e-02	1.169e-01
Agrn_8	9834	753	8.120e-01	1.279e+00	3.716e+00	4.893e+00	3.578e+00	7.472e-03	5.261e-02
Agrn_10	20486	4394	8.346e-01	-2.444e+00	1.853e+00	3.227e-01	6.836e-03	9.069e-01	1.000e+00
Agrn_11	16859	767	8.346e-01	-7.887e-01	3.324e+00	4.801e+00	4.839e+00	1.864e-03	1.788e-02
Agtpbp1_6	3799	1746	4.060e-01	4.449e+00	4.757e+00	1.020e+00	-6.863e-01	1.000e+00	1.000e+00
Agtpbp1_8	5479	855	4.248e-01	2.377e+00	5.044e+00	1.711e+00	1.417e+00	9.226e-02	2.825e-01
Ahcyl1_3	4607	2378	5.564e-01	6.369e+00	2.857e+00	-1.317e+00	7.764e-02	6.935e-01	9.156e-01
Ahi1_2	10615	1707	6.692e-01	5.815e+00	3.280e+00	-1.920e-01	-5.615e-01	1.000e+00	1.000e+00
Akr7a5_2	6560	1722	4.586e-01	5.101e+00	2.535e+00	-8.394e-01	-4.492e-01	1.000e+00	1.000e+00
Aktip_3	5884	1127	6.917e-01	-8.006e+00	3.453e+00	2.519e+00	2.281e+00	3.271e-02	1.474e-01
Alcam_1	3788	581	4.549e-01	-9.907e-01	3.695e+00	-3.261e+00	3.700e+00	6.525e-03	4.700e-02
Aldh3a2_1	10116	401	2.556e-01	-4.615e+00	5.753e+00	2.287e+00	5.181e-01	3.087e-01	5.349e-01
Aldh3a2_2	2501	950	2.556e-01	7.156e+00	3.758e+00	-2.718e+00	1.021e+00	1.531e-01	3.772e-01
Aldh4a1_1	1625	904	1.842e-01	3.548e+00	6.221e+00	5.021e+00	1.580e+00	7.544e-02	2.470e-01
Aldh7a1_7	3011	1454	2.481e-01	7.203e+00	3.909e+00	-9.511e-01	-8.203e-02	1.000e+00	1.000e+00
Alg14_2	4389	1686	2.218e-01	6.851e+00	3.837e+00	-1.376e+00	4.126e-01	3.637e-01	5.840e-01
Alg3_2	8349	3110	4.248e-01	5.205e+00	5.937e+00	-1.978e-01	-6.831e-01	1.000e+00	1.000e+00
Alg3_5	10540	4349	4.511e-01	5.370e+00	4.243e+00	3.628e+00	2.291e+00	3.231e-02	1.467e-01
Alg9_2	3920	1122	5.113e-01	3.113e+00	4.842e+00	-3.364e-01	8.418e-01	1.944e-01	4.231e-01
Alg9_6	16273	2825	5.902e-01	5.978e+00	3.862e+00	1.528e+00	1.050e+00	1.472e-01	3.695e-01
Alkbh3_3	3331	1167	3.459e-01	7.243e-01	6.167e+00	4.889e+00	1.585e+00	7.498e-02	2.470e-01
Alkbh7_2	12099	5066	5.414e-01	6.200e+00	4.747e+00	1.991e+00	-3.613e-02	1.000e+00	1.000e+00
Ambra1_7	5384	425	4.436e-01	6.164e-01	5.060e+00	-6.418e-01	-6.465e-01	1.000e+00	1.000e+00
Amn1_3	7873	2911	6.391e-01	2.418e+00	5.406e+00	3.898e+00	1.579e+00	7.555e-02	2.470e-01
Amn1_5	12837	1969	6.466e-01	-7.153e-01	2.953e+00	1.294e+00	1.012e+00	1.548e-01	3.782e-01
Amn1_7	15412	4544	6.692e-01	4.051e+00	4.609e+00	1.894e+00	1.832e+00	5.560e-02	2.054e-01
Anapc15_1	1903	1058	4.135e-01	5.911e+00	2.310e+00	2.080e+00	4.508e-01	3.424e-01	5.682e-01
Anapc16_4	7446	1175	6.203e-01	-7.467e+00	3.305e+00	3.973e+00	4.492e+00	2.724e-03	2.382e-02
Angel2_1	8647	1064	4.474e-01	6.067e+00	3.948e+00	-1.989e+00	3.296e-01	4.168e-01	6.264e-01
Angel2_3	7026	1698	4.586e-01	6.299e+00	3.157e+00	-5.104e+00	3.504e+00	8.113e-03	5.628e-02
Angel2_5	7604	3588	4.624e-01	3.008e+00	6.502e+00	3.301e-01	-1.216e-01	1.000e+00	1.000e+00
Ank2_3	11592	499	8.383e-01	-2.721e+00	3.623e+00	8.538e+00	1.903e+01	6.889e-10	4.047e-08
Ank2_9	20980	5039	8.195e-01	7.237e-01	2.811e+00	-6.164e-03	8.545e-01	1.911e-01	4.173e-01
Ank2_11	29214	1645	7.293e-01	-1.038e+00	5.638e+00	-2.731e+00	1.092e+00	1.395e-01	3.632e-01
Ank2_13	18039	3342	8.421e-01	1.480e+00	2.348e+00	9.519e-01	5.811e-01	2.810e-01	5.080e-01
Ank2_14	6719	1662	8.609e-01	-1.924e+00	4.322e+00	-2.835e+00	3.041e+00	1.366e-02	8.340e-02
Ank3_10	9285	1552	7.218e-01	-8.319e+00	2.742e+00	-6.784e-01	4.282e-01	3.547e-01	5.749e-01
Ankfy1_5	2578	1086	4.173e-01	5.061e+00	4.183e+00	-1.027e+00	1.926e-01	5.348e-01	7.462e-01
Ankrd10_nmdSE_1	9655	1152	8.083e-01	-6.730e+00	4.602e+00	1.704e+00	1.173e+00	1.256e-01	3.397e-01
Ankrd10_nmdSE_2	10194	1691	8.346e-01	-4.829e+00	4.674e+00	6.343e-01	-1.203e+00	1.000e+00	1.000e+00
Ankrd11_nmdSE_1	2389	468	3.985e-01	-3.929e+00	3.823e+00	-1.342e+00	-1.819e-01	1.000e+00	1.000e+00
Ankrd12_2	14865	4305	8.045e-01	2.872e+00	3.503e+00	1.938e+00	3.965e-01	3.732e-01	5.911e-01
Ankrd16_nmdSE_1	3501	994	3.947e-01	-9.201e-01	5.971e+00	-5.482e+00	2.429e+00	2.750e-02	1.340e-01
Ankrd16_nmdSE_2	3106	599	3.947e-01	-1.521e+00	4.828e+00	-4.125e+00	2.218e+00	3.519e-02	1.544e-01
Ankrd17_1	4754	2425	4.323e-01	-2.595e+00	5.884e+00	-9.033e-01	4.114e-01	3.644e-01	5.840e-01
Ankrd42_1	2483	618	2.218e-01	8.993e-01	6.610e+00	-4.402e+00	1.322e+00	1.040e-01	3.044e-01
Ankrd54_1	25262	910	5.414e-01	-7.866e+00	3.853e+00	-1.135e+00	4.653e-01	3.347e-01	5.620e-01
Ankrd54_2	5634	2942	5.000e-01	2.626e+00	2.251e+00	1.230e+00	7.983e-01	2.064e-01	4.353e-01
