GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Aamdc_9	3629	1399	3.083e-01	5.095e+00	4.629e+00	2.087e+00	1.987e+00	4.620e-02	1.134e-01
Aamdc_10	6927	1545	3.005e-01	6.270e+00	4.417e+00	3.356e-02	-3.333e-01	1.000e+00	1.000e+00
Aasdhppt_2	7831	2195	4.611e-01	4.864e+00	4.826e+00	3.901e-01	5.029e-01	3.159e-01	4.455e-01
Abat_3	1720	605	2.358e-01	1.179e+00	4.270e+00	3.633e+00	3.487e+00	8.266e-03	3.188e-02
Abca3_4	3612	853	4.948e-01	3.097e+00	4.382e+00	-5.553e-01	5.828e-01	2.803e-01	4.113e-01
Abhd10_1	41878	1785	6.503e-01	-8.133e+00	4.083e+00	2.318e+00	2.811e+00	1.774e-02	5.565e-02
Abhd10_2	10904	5173	5.855e-01	5.123e+00	3.761e+00	1.485e+00	2.619e+00	2.210e-02	6.648e-02
Abhd14a_1	11130	3081	4.974e-01	-3.779e+00	5.898e+00	1.629e+00	9.712e-01	1.634e-01	2.856e-01
Abhd14a_3	10915	2866	4.948e-01	-3.930e+00	5.722e+00	1.755e+00	2.879e+00	1.642e-02	5.233e-02
Abi1_8	8495	1295	6.684e-01	-1.502e+00	4.073e+00	-1.585e+00	2.575e+00	2.324e-02	6.908e-02
Abi2_2	6669	2854	7.073e-01	4.776e+00	4.246e+00	-1.862e+00	3.179e+00	1.169e-02	4.108e-02
Abi2_7	4798	856	6.554e-01	-1.929e+00	3.672e+00	1.619e-01	-1.985e-01	1.000e+00	1.000e+00
Ablim1_3	2820	880	3.057e-01	9.412e-01	3.935e+00	4.665e+00	7.166e+00	1.533e-04	1.329e-03
Ablim1_7	1017	416	2.668e-01	-5.258e+00	4.791e+00	-1.782e+00	1.381e+00	9.657e-02	1.957e-01
Ablim2_4	1927	764	2.591e-01	6.208e-01	3.436e+00	5.852e+00	1.016e+01	6.543e-06	8.834e-05
Ablim2_6	1978	397	2.409e-01	-6.658e+00	2.324e+00	2.083e+00	1.379e+00	9.682e-02	1.957e-01
Ablim2_8	826	211	2.358e-01	-7.047e+00	3.759e+00	1.533e+00	5.347e-01	3.011e-01	4.312e-01
Ablim2_nmdSE_1	877	330	1.762e-01	-5.830e+00	3.164e+00	-7.934e-01	4.432e-01	3.465e-01	4.777e-01
Ablim3_5	6320	3170	5.104e-01	6.756e+00	2.209e+00	1.072e+00	7.549e-01	2.192e-01	3.486e-01
Abtb1_1	3011	808	3.549e-01	2.045e+00	5.727e+00	-2.815e+00	3.051e+00	1.350e-02	4.563e-02
Acad8_2	3862	1439	2.539e-01	6.163e+00	3.665e+00	-9.561e-01	-1.792e-01	1.000e+00	1.000e+00
Acad9_1	6932	2627	4.974e-01	5.296e+00	3.894e+00	8.281e-01	1.413e+00	9.280e-02	1.910e-01
