	C_score	pval
AF529169_nmdSE_1	0.4348872754785783	0.0004997501249375312
AI413582_1	0.24845386407886916	0.0004997501249375312
AI480526_1	0.49632678474740244	0.0004997501249375312
AI597479_1	0.2931593244468784	0.0004997501249375312
AI987944_1	0.27996620620651247	0.27586206896551724
AU021092_1	0.8117647736603184	0.0004997501249375312
AU021092_3	0.5677331876933639	0.0004997501249375312
AU022252_1	0.6218383147003568	0.0004997501249375312
AU022252_2	0.1503846562659641	0.887056471764118
AU022754_1	0.5954598548114901	0.0004997501249375312
AU040320_4	0.21313932646210354	0.0009995002498750624
AW554918_1	0.29482600195950226	0.22438780609695153
AW554918_2	0.25950698103217595	0.2848575712143928
AW554918_3	0.22047937452519695	0.5217391304347826
AW554918_4	0.28173474696813106	0.1889055472263868
AW554918_5	0.4098667591165993	0.0024987506246876563
AW554918_6	0.5216506062844749	0.0004997501249375312
Aacs_1	0.10870998373935381	0.0079960019990005
Aacs_2	0.12886275522858437	0.0009995002498750624
Aaed1_1	0.0897613974019037	0.999000499750125
Aaed1_2	0.019128658606627935	1.0
Aagab_1	0.15951780221402245	0.0004997501249375312
Aagab_3	0.12513048837614937	0.0009995002498750624
Aak1_1	0.5280862141500244	0.0004997501249375312
Aak1_2	0.4277138415101892	0.0069965017491254375
Aak1_4	0.3403802127348765	0.0004997501249375312
Aak1_5	0.2459492027872946	0.4077961019490255
Aak1_6	0.4011755881729808	0.01699150424787606
Aak1_7	0.4069097247155359	0.014992503748125937
Aak1_9	0.7824057480661878	0.0004997501249375312
Aamdc_10	0.129878251533473	0.07946026986506746
Aamdc_13	0.049624495154748316	0.9450274862568716
Aamdc_3	0.30660022313006474	0.1874062968515742
Aamdc_5	0.06911597646868939	0.856071964017991
Aamdc_8	0.019618297661533113	0.9940029985007496
Aamdc_9	0.11771731569756849	0.07146426786606697
Aamdc_nmdSE_2	0.29668473829336417	0.0004997501249375312
Aamp_1	0.2040898893653007	0.0004997501249375312
Aamp_2	0.3073668101802133	0.0004997501249375312
Aar2_1	0.18626985240979577	0.0009995002498750624
Aar2_3	0.16784215614811304	0.0079960019990005
Aar2_4	0.17976387099143676	0.0029985007496251873
Aars2_1	0.058781642339350126	0.9465267366316842
Aars2_2	0.06299735297474218	0.9400299850074962
Aarsd1_2	0.07335720610557539	0.272863568215892
Aarsd1_3	0.027500185149797574	0.9500249875062469
Aasdh_2	0.6389099112430127	0.0004997501249375312
Aasdh_3	0.3161738346558839	0.12243878060969515
Aasdh_4	0.45112206270336275	0.0004997501249375312
Aasdh_7	0.47838132615963946	0.001999000499750125
Aasdh_8	0.516153065473729	0.005497251374312844
Aasdh_nmdSE_1	0.3095163272143363	0.14342828585707146
Aasdhppt_1	0.2824711504785896	0.0004997501249375312
Aasdhppt_2	0.2766960443061087	0.0004997501249375312
Aasdhppt_3	0.2922289503275747	0.0079960019990005
Aasdhppt_4	0.383185504266755	0.0004997501249375312
Aatf_1	0.14057770643233158	0.20439780109945027
Aatf_2	0.03038339925539646	0.9850074962518741
Aatk_1	0.08564101375124544	0.7256371814092953
Abat_1	0.0649258417013695	0.7666166916541729
Abat_2	0.07295729784887384	0.6701649175412294
Abat_3	0.44064635301206845	0.0004997501249375312
Abca1_1	0.8297237903615359	0.0004997501249375312
Abca3_4	0.17314485776626842	0.19590204897551225
Abca3_5	0.4442944133731954	0.0004997501249375312
Abca7_2	0.4097426788317713	0.0024987506246876563
Abca8b_2	0.5157399060130179	0.0014992503748125937
Abcb6_1	0.20197879772974126	0.0009995002498750624
Abcb8_1	0.4093965789683065	0.0004997501249375312
Abcc10_1	0.5108766249414838	0.0014992503748125937
Abcc5_2	0.10306306162168022	0.5922038980509745
Abcc5_3	0.2985229492935184	0.0004997501249375312
Abcc5_4	0.055853742525360794	0.9800099950024987
Abcc8_4	0.44508148984484375	0.004497751124437781
Abcc8_5	0.4400361506848365	0.017491254372813594
Abcd3_1	0.1887655757270431	0.0009995002498750624
Abcd4_1	0.37456365749724685	0.06596701649175413
Abcd4_3	0.3380036704340861	0.11544227886056972
Abcd4_4	0.39785843606861493	0.019490254872563718
Abcd4_5	0.3691554224989092	0.04047976011994003
Abcd4_6	0.3948828391463213	0.02048975512243878
Abce1_2	0.24260487734229141	0.0004997501249375312
Abcf1_1	0.0735387808039637	0.2063968015992004
Abcf1_2	0.11867478733051007	0.0069965017491254375
Abcf3_1	0.21248623462719263	0.0004997501249375312
Abcg2_3	0.10537328965692672	0.8845577211394303
Abcg4_1	0.1527813785584422	0.005497251374312844
Abhd10_1	0.06804663099484187	0.5822088955522239
Abhd10_2	0.06849681398456897	0.5527236381809095
Abhd10_3	0.12753626580683897	0.09045477261369315
Abhd11_1	0.01305416277107796	0.992503748125937
Abhd12_2	0.2944719744819888	0.0004997501249375312
Abhd12_nmdSE_1	0.1441803614110574	0.0004997501249375312
Abhd13_1	0.3159873146811518	0.08095952023988005
Abhd14a_1	0.11081614905833326	0.05697151424287856
Abhd14a_3	0.1119590132720295	0.050974512743628186
Abhd17a_1	0.008824550907453821	1.0
Abhd18_nmdSE_1	0.30447034361742276	0.15892053973013492
Abhd1_2	0.15208881102807315	0.9375312343828086
Abhd2_1	0.5402205239437807	0.0004997501249375312
Abhd5_1	0.21652944021814213	0.04897551224387806
Abhd5_nmdSE_2	0.17468944226394456	0.24987506246876562
Abhd6_1	0.09290373456008871	0.9365317341329336
Abhd8_1	0.10057375293593307	0.0004997501249375312
