	C_score	pval
AF529169_nmdSE_1	0.24663294352198384	9.999000099990002e-05
AI413582_1	0.20901116612724724	9.999000099990002e-05
AI480526_1	0.270767222343559	0.00029997000299970003
AI597479_1	0.21725170413823247	9.999000099990002e-05
AU021092_1	0.35291761047970927	9.999000099990002e-05
AU021092_3	0.274634307978072	0.0027997200279972004
AU022252_1	0.5052120575142061	9.999000099990002e-05
AU022252_2	0.07369710695114362	0.7128287171282872
AU022754_1	0.7126868889381635	9.999000099990002e-05
AU040320_4	0.29160154347061085	9.999000099990002e-05
AW554918_1	0.13785698738378394	0.2842715728427157
AW554918_2	0.11182260072038097	0.35636436356364365
AW554918_3	0.19987557853843063	0.015798420157984203
AW554918_4	0.29192655129029843	0.00019998000199980003
AW554918_5	0.2488074234169706	0.0014998500149985001
AW554918_6	0.3495165443526097	9.999000099990002e-05
Aacs_1	0.12025515816422927	9.999000099990002e-05
Aacs_2	0.1385162199676615	9.999000099990002e-05
Aaed1_1	0.021852998510470623	0.9984001599840016
Aagab_1	0.08262939080406151	9.999000099990002e-05
Aagab_3	0.14634563644216547	9.999000099990002e-05
Aak1_1	0.4233241318094485	9.999000099990002e-05
Aak1_2	0.3053459840459082	0.0008999100089991
Aak1_4	0.2603336415017601	9.999000099990002e-05
Aak1_5	0.1445220912520606	0.18318168183181682
Aak1_6	0.2590865245279519	0.004299570042995701
Aak1_7	0.2395537138640319	0.0091990800919908
Aak1_9	0.7104146485156391	9.999000099990002e-05
Aamdc_10	0.0833409840635212	0.04129587041295871
Aamdc_3	0.14765850000245406	0.23827617238276172
Aamdc_9	0.07675447736282559	0.013498650134986502
Aamdc_nmdSE_2	0.2775908046572514	9.999000099990002e-05
Aamp_1	0.15769386605974212	9.999000099990002e-05
Aamp_2	0.3076334054859089	9.999000099990002e-05
Aar2_1	0.28068925325214844	9.999000099990002e-05
Aar2_3	0.04264133407551263	0.40835916408359163
Aar2_4	0.02174492268988193	0.7483251674832517
Aars2_2	0.057981274280406336	0.5527447255274472
Aarsd1_2	0.0212440906591842	0.6140385961403859
Aarsd1_3	0.04858356892204474	0.12338766123387661
Aasdh_2	0.2907999539356749	0.00019998000199980003
Aasdh_3	0.11537776899055951	0.36206379362063795
