	C_score	pval
AF529169_nmdSE_1	0.45233312350749355	0.0004997501249375312
AI413582_1	0.2626173115893927	0.0004997501249375312
AI480526_1	0.4489080936700742	0.0029985007496251873
AI597479_1	0.29460101385601367	0.0004997501249375312
AI987944_1	0.3384936856634362	0.12343828085957022
AU021092_1	0.761655187825796	0.0004997501249375312
AU021092_3	0.34146961228750394	0.09045477261369315
AU022252_1	0.49413531906013763	0.0009995002498750624
AU022252_2	0.030511064135272714	0.9845077461269365
AU022754_1	0.42888205314479133	0.033483258370814596
AU040320_4	0.06041333311376562	0.7321339330334833
AW554918_1	0.2200686903300867	0.43478260869565216
AW554918_2	0.24953527726620994	0.3373313343328336
AW554918_4	0.09049837307606712	0.9645177411294353
AW554918_5	0.20321663599322948	0.5762118940529735
AW554918_6	0.3975833904238305	0.014992503748125937
Aacs_1	0.09254395337181132	0.551224387806097
Aacs_2	0.21640155528028115	0.0004997501249375312
Aaed1_1	0.13967433375775895	0.8515742128935532
Aaed1_2	0.08734280554968199	0.9675162418790605
Aagab_1	0.1236294896929826	0.31634182908545727
Aak1_1	0.45864204820528987	0.0014992503748125937
Aak1_2	0.3843558523336119	0.037481259370314844
Aak1_4	0.1656570555835668	0.4012993503248376
Aak1_5	0.2049470424727795	0.5247376311844077
Aak1_6	0.37981791473277005	0.04297851074462768
Aak1_7	0.19539459554695937	0.55872063968016
Aak1_9	0.784682845732175	0.0004997501249375312
Aamdc_10	0.18674789238861078	0.14742628685657172
Aamdc_3	0.2067012222139224	0.48375812093953025
Aamdc_9	0.13145708536508371	0.2733633183408296
Aamdc_nmdSE_2	0.25961191751754065	0.050974512743628186
Aamp_1	0.10181064221578451	0.5727136431784108
Aamp_2	0.45932972481433254	0.0004997501249375312
Aar2_1	0.21959508396680627	0.028985507246376812
Aar2_3	0.29621484685406474	0.001999000499750125
Aar2_4	0.316152395173401	0.0004997501249375312
Aars2_2	0.025652435953704034	0.9175412293853074
Aarsd1_2	0.091449416322123	0.5872063968015993
Aarsd1_3	0.008985748455339948	0.9740129935032483
Aasdh_2	0.6178111268004002	0.0004997501249375312
Aasdh_3	0.20542977348928448	0.5232383808095952
Aasdh_4	0.42834471821310394	0.006496751624187906
Aasdh_7	0.42418408242744354	0.013993003498250875
Aasdh_8	0.49051995994421016	0.009495252373813094
Aasdh_nmdSE_1	0.39096728019170124	0.029985007496251874
Aasdhppt_1	0.22128024304005556	0.02448775612193903
Aasdhppt_2	0.18184059394907748	0.16091954022988506
Aasdhppt_4	0.38624464187827645	0.0074962518740629685
Aatf_1	0.026828004337273392	0.9085457271364318
Aatk_1	0.00912797491511752	0.9685157421289355
Abat_1	0.10140542811627884	0.48125937031484256
Abat_3	0.48016944187531096	0.0004997501249375312
Abca1_1	0.8366930400042805	0.0004997501249375312
Abca3_4	0.19200103132035384	0.22088955522238882
Abca3_5	0.35137392604180784	0.0004997501249375312
Abca7_2	0.2129603533023936	0.5227386306846576
Abca8b_2	0.5115543783720007	0.0009995002498750624
Abcb6_1	0.15876841072045067	0.2978510744627686
Abcb8_1	0.4528984987079444	0.0004997501249375312
Abcc10_1	0.38251694587063256	0.0399800099950025
Abcc5_3	0.26867854709041095	0.01999000499750125
Abcc8_4	0.3473694751467804	0.08245877061469266
Abcc8_5	0.3665035079798423	0.08895552223888056
Abcd3_1	0.21477874507999117	0.035982008995502246
Abcd4_1	0.4783076863711393	0.01199400299850075
Abcd4_3	0.416654212256401	0.04097951024487756
Abcd4_4	0.38597806844429594	0.035982008995502246
Abcd4_5	0.24768329025240599	0.3618190904547726
Abcd4_6	0.4234735045248923	0.013993003498250875
Abce1_2	0.09985313847922273	0.45327336331834084
Abcf1_1	0.07989940831109921	0.5762118940529735
Abcf1_2	0.03215342153441891	0.8855572213893054
Abcf3_1	0.10519751903768737	0.3613193403298351
Abcg2_3	0.059142505696108905	0.8840579710144928
Abcg4_1	0.13025529519045542	0.2773613193403298
Abhd10_1	0.11062106325083798	0.38980509745127434
