	C_score	pval
AF529169_nmdSE_1	0.19317886787891803	0.0009995002498750624
AI413582_1	0.2666929278751522	0.0004997501249375312
AI597479_1	0.14885448841215043	0.0004997501249375312
AU021092_1	0.33082061450469846	0.0004997501249375312
AU022252_2	0.2051962354828405	0.0004997501249375312
AU022754_1	0.5955910961442905	0.0004997501249375312
AU040320_4	0.5271901221473485	0.0004997501249375312
AW554918_1	0.10247896374563115	0.22188905547226387
AW554918_2	0.021917214378995742	0.5892053973013494
AW554918_3	0.14976713167393407	0.004997501249375313
AW554918_6	0.11385851007933112	0.02448775612193903
Aacs_1	0.12275703249886283	0.0004997501249375312
Aacs_2	0.1290644553332735	0.0004997501249375312
Aagab_1	0.022541585964189648	0.11294352823588207
Aagab_2	0.25051870530236153	0.0004997501249375312
Aagab_3	0.0402508333085263	0.005497251374312844
Aak1_1	0.36775372843036724	0.0004997501249375312
Aak1_2	0.18165363620749442	0.004497751124437781
Aak1_4	0.05071289117486877	0.18940529735132433
Aak1_6	0.2554910141829867	0.0004997501249375312
Aak1_7	0.16373097304296713	0.01249375312343828
Aak1_9	0.1758079675928832	0.006496751624187906
Aamdc_10	0.13091520686739022	0.0024987506246876563
Aamdc_4	0.07111862823238635	0.111944027986007
Aamdc_nmdSE_2	0.24694351696675276	0.0004997501249375312
Aamp_1	0.07375951726438545	0.004997501249375313
Aarsd1_2	0.04767500906279398	0.0944527736131934
Aarsd1_3	0.035881062463323565	0.19440279860069964
Aasdh_3	0.007016421286475838	0.896551724137931
Aasdh_nmdSE_1	0.06485117623551384	0.263368315842079
Aasdhppt_1	0.2693351509257188	0.0004997501249375312
Aasdhppt_2	0.19999511724275865	0.0004997501249375312
Aasdhppt_3	0.22613542549527688	0.001999000499750125
Aasdhppt_4	0.36884031834553843	0.0004997501249375312
Aatf_1	0.08979417638800569	0.050474762618690654
Aatf_2	0.014036338018980743	0.7406296851574213
Aatk_1	0.08302987640795689	0.06996501749125437
Abat_1	0.07740719580938693	0.037481259370314844
Abat_2	0.5367241243075673	0.0004997501249375312
Abat_3	0.4947286524525888	0.0004997501249375312
Abca3_4	0.018175204313617188	0.34782608695652173
Abca3_5	0.18439664529157873	0.0004997501249375312
Abca7_2	0.5012305486028199	0.0004997501249375312
Abca8b_2	0.2466056716209991	0.0004997501249375312
Abcb6_1	0.09023901817289093	0.0009995002498750624
Abcb8_1	0.010864464450366929	0.47226386806596704
Abcc10_1	0.06593222277158739	0.25537231384307846
Abcc5_3	0.06280374175156889	0.035982008995502246
Abcc5_4	0.14743113600887336	0.0004997501249375312
Abcc8_4	0.28404080410738597	0.0004997501249375312
Abcc8_5	0.27436460677077235	0.005997001499250375
Abcf1_2	0.20464025184212964	0.0004997501249375312
Abcf3_1	0.11683287821851396	0.0004997501249375312
Abcg4_1	0.11922211596314636	0.0024987506246876563
Abhd10_2	0.04054662720942226	0.19440279860069964
