	C_score	pval
AF529169_nmdSE_1	0.0788528590890547	0.02798600699650175
AI413582_1	0.1769567480383668	0.0004997501249375312
AI480526_1	0.06781350232326389	0.044977511244377814
AI597479_1	0.07646064708897893	0.0004997501249375312
AU022252_1	0.026947571508406987	0.3498250874562719
AU022252_2	0.06846573542498946	0.04297851074462768
AU022754_1	0.5065885029439294	0.0004997501249375312
AU040320_4	0.18970766410794404	0.0004997501249375312
AW554918_1	0.33195160426635517	0.0009995002498750624
AW554918_3	0.2945601668832972	0.0029985007496251873
AW554918_5	0.02400651224099859	0.7611194402798601
AW554918_6	0.2286608095176791	0.01699150424787606
Aacs_2	0.060652201756023594	0.06446776611694154
Aagab_1	0.013675208232962754	0.657671164417791
Aagab_2	0.2028983329178361	0.0004997501249375312
Aagab_3	0.031091635485124947	0.3313343328335832
Aak1_1	0.4616214168698779	0.0004997501249375312
Aak1_2	0.1718983568761958	0.010994502748625687
Aak1_4	0.019639542019623146	0.5977011494252874
Aak1_6	0.23244095291936806	0.0034982508745627187
Aak1_7	0.25265395507590527	0.0014992503748125937
Aak1_9	0.3526638551299378	0.0004997501249375312
Aamdc_10	0.06349615388504481	0.08745627186406797
Aamdc_9	0.009400568722342628	0.735632183908046
Aamdc_nmdSE_2	0.3719964674811984	0.0004997501249375312
Aamp_1	0.22027449743935912	0.0004997501249375312
Aamp_2	0.05950445411944871	0.017491254372813594
Aars2_2	0.013111258955590399	0.8180909545227386
Aarsd1_2	0.15200248755311385	0.0004997501249375312
Aasdh_2	0.07760308642934666	0.04447776111944028
Aasdh_3	0.09797510717835911	0.09695152423788106
Aasdh_4	0.04529646134219012	0.18940529735132433
Aasdhppt_1	0.2833360204657557	0.0004997501249375312
Aasdhppt_2	0.23623045091093509	0.0004997501249375312
Aasdhppt_3	0.2760605598423511	0.0004997501249375312
Aasdhppt_4	0.42292908220961334	0.0004997501249375312
Aatf_1	0.1438852053013625	0.0004997501249375312
Aatf_2	0.2027657774121231	0.0004997501249375312
Aatk_1	0.04128848307527122	0.33233383308345826
Abat_1	0.10846114156353615	0.004997501249375313
Abat_2	0.2598935868850436	0.0004997501249375312
Abat_3	0.4400399938497126	0.0004997501249375312
Abca3_4	0.03540627013620179	0.06646676661669165
Abca3_5	0.22987694908124823	0.0004997501249375312
Abca7_2	0.2639959187252193	0.0004997501249375312
Abca8b_2	0.2116709140730414	0.0009995002498750624
Abcb6_1	0.03336012613106065	0.08245877061469266
Abcb8_1	0.13151248072554533	0.0004997501249375312
Abcc10_1	0.16510966247414838	0.01699150424787606
Abcc5_3	0.05484110443336199	0.06846576711644178
Abcc8_4	0.4710484473737818	0.0004997501249375312
Abcc8_5	0.15195646764852888	0.08845577211394302
