	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	0.0008517376434850931	0.22977022977022976	0.337857408863326	0.24487643452208047	
Aftph_4	mean_1_var_1	0.00893736394089791	0.06893106893106893	0.12807006078034114	0.09279037427558229	
Agrn_8	mean_1_var_1	0.031117993706414018	0.000999000999000999	0.0034241620448516997	0.0011052132723055495	
Agtpbp1_11	mean_1_var_1	0.00448931350236453	0.1258741258741259	0.21063784700148339	0.16465467574034687	
Aldh3a2_2	mean_1_var_1	0.001755114305746524	0.2087912087912088	0.3130293537533357	0.2231995941454012	
Angel2_1	mean_1_var_1	0.009033204798767616	0.06893106893106893	0.12807006078034114	0.09155010462913526	
Ankfy1_5	mean_1_var_1	0.0017488348955709753	0.2087912087912088	0.3130293537533357	0.22334640120817834	
Arfip2_nmdSE_1	mean_1_var_1	-0.0003350058948620371	0.2547452547452547	0.36434069527594704	0.2749914154448347	
Arhgef40_7	mean_1_var_1	-0.014515005682653058	0.7162837162837162	0.7972967681814266	0.695827489383861	
Armc9_4	mean_1_var_1	-0.018449642538076644	0.8171828171828172	0.8843546219702997	0.7940343378906284	
B4galt3_1	mean_1_var_1	0.0049122843364400514	0.1258741258741259	0.21063784700148339	0.15657786754009578	
Bclaf1_1	mean_1_var_1	0.03704101167120793	0.000999000999000999	0.0034241620448516997	0.0002124288723151503	
Btrc_1	mean_1_var_1	-0.002768056152604951	0.35864135864135865	0.48012055284782557	0.3418974375215287	
Cacna1e_2	mean_1_var_1	-0.001353009920639846	0.2817182817182817	0.3941280394482365	0.3022007990111493	
Camk2d_1	mean_1_var_1	0.014014828806633206	0.027972027972027972	0.06171852564749346	0.042597638421254684	
Camta1_5	mean_1_var_1	0.05226171990621678	0.000999000999000999	0.0034241620448516997	1.2035387043708228e-06	
Ccdc127_2	mean_1_var_1	0.00883489430726385	0.06893106893106893	0.12807006078034114	0.09413012328652648	
Ccdc136_17	mean_1_var_1	0.05035389528876035	0.000999000999000999	0.0034241620448516997	2.4799888732519497e-06	
Chtf8_3	mean_1_var_1	0.01997825183131571	0.024975024975024976	0.059819698373915244	0.014327066872028098	
