,n_counts,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var,Tumor_Stage
SRR5296833,1800873.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296830,1224025.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296829,1586848.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296809,2314034.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296810,2790964.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296811,2719033.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296812,2093870.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296813,2543375.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296814,1806803.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296815,2614985.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296831,1524287.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296816,3536075.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296818,2826185.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296819,2784633.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296820,2248358.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296821,2813568.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296822,2426670.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296823,3558416.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296824,1279820.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296825,1863393.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296826,2368728.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296817,1733678.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296832,2655487.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296834,1452200.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296828,1727221.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296827,1775221.0,0,0,12.881240844726562,0.26095959544181824,18_months_TKI
SRR5296856,1949504.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296855,1776946.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296854,1272288.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296853,1314071.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296852,1894609.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296851,2430156.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296850,825095.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296849,860932.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296848,1523280.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296847,2492708.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296835,1460044.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296844,1802032.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296843,1950175.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296842,2645821.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296841,4546801.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296840,1133234.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296839,3009940.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296838,1891360.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296837,1842343.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296836,722242.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296845,2522457.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296846,1139241.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296934,2622477.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296950,1245517.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296925,2026108.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296926,1801654.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296927,1352335.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296928,1598148.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296929,2032020.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296930,1988131.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296931,1092014.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296933,1615569.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296935,1318369.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296936,1815475.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296937,1406236.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296938,1390759.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296932,2231986.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296940,1205124.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296939,590386.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296948,1219600.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296947,2325282.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296946,2058286.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
SRR5296945,1551970.0,0,0,12.881240844726562,0.26095959544181824,1_year_TKI
