hgnc_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
TSPAN6,16928.0,True,4768.0,8.99946836788942,12700.259042270409,1.3413231074368295
SCYL3,92948.0,True,4392.0,49.41414141414141,117697.53318289274,1.3686093530611427
CFH,504403.0,True,4262.0,268.1568314726209,816278.0471993167,1.3779057013587312
NFYA,137819.0,True,4293.0,73.26900584795321,191392.96642714943,1.3754484075917155
NIPAL3,590273.0,True,4709.0,313.80808080808083,946083.4376155168,1.3451991051137626
ENPP4,122186.0,True,2131.0,64.95800106326422,193882.4870649383,1.6116340531851419
AOC1,2090.0,True,1505.0,1.1111111111111112,898.421158392435,1.724301981571273
WNT16,1426.0,True,1546.0,0.7581073896863371,568.8973079054825,1.7186402369215925
SNX11,48059.0,True,1301.0,25.549707602339183,67659.69074592508,1.7722839701618465
KLHL13,60791.0,True,191.0,32.31844763423711,123131.3357712059,2.385471893023989
DBNDD1,700.0,True,2390.0,0.3721424774056353,94.74441503500852,1.5666192182054794
TFPI,727641.0,True,2290.0,386.8373205741627,1402272.0123511145,1.5855546201396513
MTMR7,18356.0,True,2457.0,9.758639021796917,16472.40873516803,1.5575797962348963
PDK4,1395.0,True,2462.0,0.7416267942583732,344.0204418202178,1.5572560157258892
SLC22A16,137382.0,True,3363.0,73.03668261562999,202024.83854728696,1.457325897811381
ZMYND10,3164.0,True,4895.0,1.6820839978734716,1342.0627054418765,1.333303627431734
ST7,176299.0,True,1097.0,93.72620946305157,339397.25106269866,1.8271827820601243
THSD7A,8877.0,True,505.0,4.719298245614035,18636.547760358342,2.045643821549847
RPAP3,267208.0,True,4525.0,142.05635300372143,401510.3590566923,1.3583133402192777
REXO5,143965.0,True,3302.0,76.5364167995747,214516.80093374956,1.4640128058956707
FAM214B,16292.0,True,4767.0,8.661350345560871,12051.234723494745,1.3413309363337327
MPO,734577.0,True,2.0,390.52472089314193,8428631.766010892,8.239581312116963
CROT,76491.0,True,1140.0,40.665071770334926,128214.88510383792,1.8140949115741256
IBTK,204819.0,True,4526.0,108.8883572567783,298918.71306118293,1.3581889653624934
ITGA3,323.0,True,4496.0,0.1717171717171717,18.012518805071995,1.3607187165469092
MAP3K9,4958.0,True,3579.0,2.6358320042530567,2281.9210345334645,1.4363807925751406
TTC22,15406.0,True,1512.0,8.190324295587454,17711.54141696924,1.7232086437331067
PHTF2,155567.0,True,542.0,82.70441254651782,325151.7913049871,2.025073307796578
FARP2,63438.0,True,4620.0,33.72567783094099,72969.41832434082,1.3505426875834345
GTF2IRD1,13003.0,True,1761.0,6.912812333864966,15308.609947458908,1.6735316761739532
ARHGAP44,16450.0,True,2643.0,8.74534821903243,13972.657990317508,1.5347432597281276
ADIPOR2,112423.0,True,1020.0,59.76767676767677,201088.59546529118,1.8530377683728043
PROM1,899547.0,True,1980.0,478.2280701754386,1832941.8479563268,1.6362336824408883
PAFAH1B1,292245.0,True,4297.0,155.36682615629985,448051.6276010383,1.3750267503597509
SCN4A,5580.0,True,2657.0,2.9665071770334928,3462.7696223149746,1.5330790755322832
RHBDF1,9332.0,True,1125.0,4.961190855927698,7486.533067517277,1.81842627093255
CRAMP1,73036.0,True,907.0,38.82828282828283,150051.78007199653,1.89243378112021
E2F2,16092.0,True,3227.0,8.555023923444976,12986.303486714853,1.4701175339447587
CDKL5,5882.0,True,4234.0,3.1270600744284955,2844.802464171389,1.3797392859762707
CYTH3,30866.0,True,517.0,16.4093567251462,52082.717976234904,2.0390210786677994
ADAM22,65394.0,True,592.0,34.76555023923445,112530.22266364652,2.0073768962750353
SPAG9,133611.0,True,3112.0,71.03189792663477,198881.8681309172,1.4828321982193151
AASS,369122.0,True,4554.0,196.23710792131845,571103.7628988654,1.356216383157511
CRY1,61788.0,True,3372.0,32.84848484848485,76178.6488394584,1.4561724305132833
MASP2,4191.0,True,3979.0,2.2280701754385963,1717.7314669652853,1.4002596783315324
VTA1,1084480.0,True,2495.0,576.5443912812334,2156348.576884749,1.5534346290078447
ETV7,6801.0,True,436.0,3.615629984051037,8951.950585360886,2.098737260658315
SPRTN,72759.0,True,3464.0,38.68102073365231,92195.96894278734,1.4466535741218922
UQCRC1,1167607.0,True,3693.0,620.7373737373738,2157663.7607779927,1.4258219136199861
SEMA3G,1534.0,True,3511.0,0.8155236576289208,709.7313759091473,1.4421081198438293
ZNF200,24448.0,True,1999.0,12.997341839447103,38462.56275888787,1.6333997966351883
BTK,646369.0,True,3270.0,343.6305156831473,1139337.6501108508,1.4670505867397343
HIVEP2,48095.0,True,320.0,25.56884635832004,83733.28794382798,2.1912387980798362
ABHD5,33033.0,True,1272.0,17.56140350877193,60256.844232922725,1.7799089055291153
MBTD1,104180.0,True,4770.0,55.38543328017012,132553.14391535736,1.3411134238270814
UTP18,396142.0,True,4794.0,210.60180754917596,609256.6344435395,1.3396067860578116
QPCTL,29552.0,True,205.0,15.710792131844764,74703.00886751049,2.358630723471116
MAP4K3,96669.0,True,2095.0,51.39234449760765,145783.56726051102,1.6154948763589274
KDM5D,222720.0,True,1393.0,118.40510366826156,422568.26346330036,1.7482378030863732
EHD3,68622.0,True,415.0,36.48165869218501,125784.07426448131,2.117321983186167
PSMC4,864906.0,True,1881.0,459.81180223285486,1771837.2996691435,1.6533058428905416
PGM3,95309.0,True,2661.0,50.66932482721956,135925.8475106609,1.5326307230187413
CLK1,2410484.0,True,2918.0,1281.4906964380648,5567593.259620844,1.5022851489708828
POLR3B,36501.0,True,2602.0,19.405103668261564,41140.6730377685,1.5385216216330537
UFL1,169913.0,True,4452.0,90.33120680489101,242641.86152029815,1.3631670309259858
MDH1,1818341.0,True,4079.0,966.6884635832005,3603965.6012976905,1.3920508316204077
SLC30A9,423360.0,True,3138.0,225.07177033492823,723402.9448462791,1.4794247673495544
MTMR11,896.0,True,3886.0,0.4763423710792132,144.4251049125069,1.4077063844993694
COX15,420076.0,True,2135.0,223.32589048378523,781182.4963984751,1.6112261413467273
ZMYND11,208337.0,True,3313.0,110.75863902179691,328177.25554367865,1.4629880655514078
DPEP1,49317.0,True,718.0,26.218500797448165,77631.35914690013,1.96814569115516
CHDH,2848.0,True,2358.0,1.5140882509303561,1054.0148280113565,1.5712161449233153
CNTN1,20857.0,True,57.0,11.088250930356194,47495.95018635401,2.7627104117741013
ZNF582,23867.0,True,1027.0,12.688463583200425,28021.586935989228,1.8513975834998186
VSIG2,7314.0,True,3474.0,3.8883572567783093,4154.679018629746,1.4456784510440208
PHLDB1,2999.0,True,2635.0,1.5943646996278575,1116.060372481817,1.5354889615805791
PRDM11,10953.0,True,1587.0,5.822966507177034,8820.940450982385,1.7084422693690837
CD74,44418468.0,True,747.0,23614.26847421584,621199291.2890534,1.9542479224858953
HGF,362964.0,True,394.0,192.96331738437001,884119.6912068613,2.138448041326726
ZRANB1,45011.0,True,1276.0,23.92929292929293,62478.11201912744,1.7789616847055238
ADGRA2,869.0,True,3410.0,0.4619883040935672,131.07421923603334,1.4522840606269802
SAMD4A,22685.0,True,811.0,12.060074428495481,27214.897984888074,1.927543857301424
PLEKHB1,48936.0,True,3040.0,26.015948963317385,58209.50878804846,1.490272993040459
NRXN3,42318.0,True,752.0,22.497607655502392,78398.06182938002,1.9514289250351287
FHL1,916243.0,True,495.0,487.1041998936736,2349702.84392384,2.054299855445433
ZDHHC6,472368.0,True,3597.0,251.12599681020734,790977.4117759339,1.4346614027931406
NDUFS1,333203.0,True,1637.0,177.14141414141415,639629.3762679991,1.6990935469811124
AKAP11,105492.0,True,3843.0,56.0829346092504,141686.80375648986,1.411881721339683
ABCC2,4526.0,True,1117.0,2.406166932482722,2516.6104725870123,1.82185847475099
HSF2,189006.0,True,3111.0,100.48165869218501,298171.7918176728,1.4828418730700146
HSD17B6,13407.0,True,848.0,7.127591706539075,14816.17094573959,1.9131091993827725
TYMP,6902.0,True,2761.0,3.669324827219564,5617.208680873686,1.5214876394862955
FAS,71568.0,True,2667.0,38.047846889952154,95718.34504988293,1.5319830741640392
AGPAT4,114785.0,True,4700.0,61.0233918128655,149838.3021121065,1.345668864875494
SLAMF7,11303.0,True,330.0,6.009037745879851,11779.84087572251,2.183127744446817
IFNGR1,288562.0,True,779.0,153.40882509303563,623819.7689433527,1.9410948140267696
ANK1,21523.0,True,2933.0,11.442317916002127,19712.03722951802,1.5002973857048008
TFB1M,154338.0,True,4898.0,82.05103668261563,212072.0729257864,1.3331874481639614
RABEP1,194295.0,True,3296.0,103.29346092503987,303812.2978774305,1.464584119589067
IKZF2,30838.0,True,3448.0,16.394471026049974,31004.970905584396,1.4486326262547107
CENPQ,65660.0,True,3291.0,34.90696438064859,82542.65038232265,1.465235097981703
ARID4A,590187.0,True,2724.0,313.762360446571,1072534.7296676165,1.5252377361697675
IFT88,156627.0,True,358.0,83.26794258373205,350422.5287004988,2.1651072160942983
ZCCHC8,128865.0,True,4343.0,68.50877192982456,176054.450055991,1.3710826454606924
LRRC7,16231.0,True,4825.0,8.628920786815524,14267.454780164466,1.3378638766787174
FUT8,145168.0,True,2010.0,77.17597022860181,241448.8004009863,1.6316723463607232
PIAS1,595592.0,True,3521.0,316.6358320042531,1023593.3853962355,1.4412301083102035
SLC4A7,135463.0,True,3772.0,72.01648059542796,193356.63749420294,1.4182286187957593
ASTE1,97753.0,True,3781.0,51.96863370547581,129682.87933478117,1.4176112768414177
RNF19A,446849.0,True,4589.0,237.5592769803296,702377.2662982004,1.3540456272029726
MYOC,8689.0,True,3915.0,4.619351408825093,5218.303965749317,1.4051635906872106
DAPK2,8556.0,True,4455.0,4.548644338118022,4948.838190980352,1.3629874388458143
STAP1,408404.0,True,963.0,217.12068048910155,880242.8822369834,1.8722042661125766
SLC18A1,4059.0,True,603.0,2.1578947368421053,4237.526651735721,2.005574325370762
USP2,23893.0,True,3316.0,12.702286018075492,22172.826212856442,1.4627873785607988
FLT4,13315.0,True,2467.0,7.0786815523657625,15914.190614430983,1.556471502927716
AGA,186126.0,True,2469.0,98.9505582137161,307512.2065967627,1.556115929809476
MAT2B,1156221.0,True,2972.0,614.6842105263158,2239139.9927771557,1.4967882478245218
VCAN,66293.0,True,1250.0,35.2434875066454,101875.1491929372,1.7875897887798382
CDH1,14488.0,True,577.0,7.702286018075492,15374.452808601125,2.0118122264074896
DNAH5,3266.0,True,2220.0,1.7363104731525785,1327.7708563801507,1.5982976205794692
ZFYVE16,92230.0,True,1070.0,49.03242955874535,184621.04203287067,1.8366630682997753
PHLPP2,33261.0,True,1434.0,17.682615629984053,87092.8130433676,1.7407616564838602
PQLC2,19842.0,True,4754.0,10.548644338118022,15787.931808001627,1.3426381504733322
RTN4R,1388.0,True,4735.0,0.7379053694843168,278.34244007827436,1.3436220503416516
INPP4A,96428.0,True,644.0,51.264221158958,216281.44983089573,2.0000683000625705
PARP3,49245.0,True,1278.0,26.180223285486445,70032.62760867352,1.7787754571703294
THAP3,62348.0,True,556.0,33.146198830409354,106827.73286985191,2.019537362584013
TDP1,173085.0,True,2028.0,92.01754385964912,296306.3863941769,1.629393498159176
AIFM2,10542.0,True,756.0,5.604465709728868,10527.691341748954,1.949202216588111
TG,4427.0,True,2147.0,2.3535353535353534,4002.1456909520734,1.6093776479112563
ADAM28,1009356.0,True,1779.0,536.6060606060606,2134441.2585589937,1.6707750657121203
ADRB1,20242.0,True,749.0,10.761297182349814,51348.45788427386,1.9531341818512602
CTNNA1,423189.0,True,3557.0,224.98086124401914,703167.7092079811,1.4386762631900694
HSPA5,4374115.0,True,23.0,2325.4199893673576,28035214.39266404,3.3952359709592916
GEMIN8,107109.0,True,3209.0,56.942583732057415,150471.47755268245,1.4718139465797069
WDR37,104398.0,True,4814.0,55.50132908027645,132621.29534397728,1.3384048829344923
ATP6V1H,309688.0,True,1560.0,164.64008506113768,595408.080498716,1.7147559879580232
POLR2B,420772.0,True,3865.0,223.69590643274853,684721.4760949359,1.4097215204257791
ARAP2,165325.0,True,399.0,87.89207868155236,390772.2255808363,2.135566470748231
