	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5
SRR5296833	-1.2649677	2.1983912	-3.4942634	-0.55664504	0.29314744
SRR5296830	0.3937543	0.6717428	0.35630387	-1.3205975	-0.6085239
SRR5296829	-2.3034017	1.5626911	-0.37303013	-0.075751394	1.8453851
SRR5296809	-2.829085	0.9570067	-3.4258301	0.7058187	1.176043
SRR5296810	-1.51212	3.894961	-4.317426	-0.91757965	0.43286705
SRR5296811	-0.45963037	0.7595742	-3.99487	-0.9461237	0.8604152
SRR5296812	-1.5579696	1.4656621	-2.9653018	-0.8401436	1.3356658
SRR5296813	-2.8460345	1.7278866	-3.2326853	-0.5843496	0.4784478
SRR5296814	-1.4510217	1.621765	-2.6661348	0.029794753	-1.2197847
SRR5296815	1.1678882	1.7415701	-3.5543664	-0.80447644	-0.14074756
SRR5296831	-1.741133	-0.24868648	-1.4684546	0.30870193	0.73450184
SRR5296816	-0.47059947	-0.054935396	-2.5691946	0.81789553	-1.66947
SRR5296818	-0.7489692	-0.050195426	-1.7659843	-1.157955	-0.55883485
SRR5296819	-0.7567764	2.3529603	-2.2435973	0.60280555	0.39159995
SRR5296820	-1.9365876	0.38512668	-1.9084675	-0.26898748	0.6354037
SRR5296821	-1.9976873	0.73447263	-2.0378993	0.6751208	1.3411912
SRR5296822	2.3300831	3.601817	-6.8836527	-1.192381	-0.47671252
SRR5296823	-2.282375	1.0621208	-1.0284269	0.28365767	1.5141795
SRR5296824	-1.6969259	-0.48323697	0.33745813	0.19202803	1.0665399
SRR5296825	-1.3591377	0.42805108	-1.34723	-0.06529805	0.38134795
SRR5296826	-1.7817166	0.9857676	-0.5856778	-0.17757745	-0.5165401
SRR5296817	-0.55907863	2.913442	-1.3483078	2.0759437	-1.9669062
SRR5296832	-0.6017821	0.16716537	-0.76587254	-1.5526772	2.446159
SRR5296834	-2.4494228	2.1853855	-1.2101705	-0.6323242	0.23272781
SRR5296828	-1.8929996	1.1938249	-2.2722735	-0.679234	0.88984346
SRR5296827	-1.0411646	1.0014654	-0.2595132	-0.60181296	0.5336963
SRR5296856	1.235619	-0.3685516	0.022197127	-1.4857227	-0.46653783
SRR5296855	-0.053496867	0.012052387	0.44116926	-0.0012533218	0.3409636
SRR5296854	0.7685581	1.0410649	-0.47720653	-1.7795616	-1.1856388
SRR5296853	1.5987362	3.8695033	-3.490184	0.7498342	-2.412622
SRR5296852	1.103498	4.3925214	-5.4244423	-0.41804206	-0.40377545
SRR5296851	-0.1122098	2.6428401	-1.1410005	-1.4786047	-0.042242154
SRR5296850	0.52984256	0.01358512	0.32854322	-0.04410012	-1.5577918
SRR5296849	-2.034889	-0.08550426	-0.06800449	0.56019753	1.415766
SRR5296848	0.5335902	0.8673204	-0.47054863	0.44572943	-1.7299576
SRR5296847	0.25942117	1.1561973	-1.1182063	-0.73644215	-0.7057629
SRR5296835	-2.381809	0.01056996	-4.4467854	4.234179	-1.4480581
SRR5296844	0.83707964	1.9190787	-1.8513637	0.22997795	-0.84766847
SRR5296843	0.5366868	3.0051138	-3.095158	0.38189286	-1.2860358
SRR5296842	-1.5026325	-0.5345235	0.15165651	1.5270551	-0.21610852
SRR5296841	0.21955621	0.6847216	-0.29545677	0.4655183	-2.218416
SRR5296840	-0.83737916	-0.19507262	-0.36461866	-0.17373998	2.0306392
SRR5296839	-0.8616096	-0.23394936	0.71200424	0.9335498	-1.5843632
SRR5296838	-1.4945966	0.37685904	-3.8578484	0.9847776	-3.986655
SRR5296837	-0.5255839	-0.6491594	1.0700661	2.1976204	-0.8055105
SRR5296836	-1.4931958	-0.86398995	1.5317774	0.9858697	-0.92356026
SRR5296845	-2.2345288	0.0399414	-1.6803038	-0.8508589	0.86522186
SRR5296846	0.079633914	0.85865366	-0.6567331	1.4222068	-1.5135078
SRR5296934	-2.986183	2.5429645	-1.8762434	0.37162226	0.79440403
SRR5296950	-1.4590331	2.6316183	-4.2796574	1.428773	1.5971079
SRR5296925	-4.3688855	4.2191606	-4.7957196	3.1821225	0.18932493
SRR5296926	-0.2618043	3.8941295	-7.8519154	1.3096462	2.4380279
SRR5296927	-1.219707	3.7152617	-6.7681417	0.8876383	1.4700971
SRR5296928	-1.0375144	2.520015	-5.1257315	1.029447	0.99044394
SRR5296929	-0.74739724	5.518826	-5.130831	-2.0684667	-0.24395238
SRR5296930	-0.470494	5.799525	-10.928348	2.6841578	-0.17155956
SRR5296931	-4.1203704	2.7624087	-5.7179093	1.3876728	2.2560425
SRR5296933	-3.1607642	2.0648656	-3.441374	-1.6813039	2.7586908
SRR5296935	-3.5217676	3.930137	-5.9678717	1.8896962	0.2834056
SRR5296936	-1.7565919	-0.09054789	-0.21313989	-0.18205021	3.8216527
