	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5	scvi_6	scvi_7	scvi_8	scvi_9	scvi_10
SRR7408400	1.3067311	-1.536949	1.562989	1.6708064	-0.36375082	0.18511152	1.0433345	-0.1206519	0.54277706	0.8334985
SRR7408401	2.0265534	-0.41031194	1.2120924	1.2127903	-1.167937	0.828602	-0.6312163	0.73081875	1.2001339	1.379625
SRR7408404	1.5001457	-1.3828546	0.75187016	1.3754585	-0.37098527	0.34602937	-2.757409	1.0762055	0.84364915	0.9067123
SRR7408413	1.8706721	-0.7576287	1.6876183	0.9679486	-0.04353094	1.0843933	-0.04918742	0.91076326	1.5947014	0.9612601
SRR7408414	0.48247638	-0.28155607	0.20600921	1.2412255	-0.805917	0.5955641	-1.815846	0.5528103	0.35823345	2.445393
SRR7408418	0.40914163	-0.9032085	1.6808195	2.342479	0.3593353	0.5886401	0.049108505	0.2061498	0.58041906	1.2206272
SRR7408422	1.249617	-0.57379305	1.4739022	1.9597251	0.023109674	0.99087834	-1.1736526	1.183352	0.47646308	0.7936789
SRR7408424	2.4226396	-1.8263193	-0.59383154	1.3384256	-1.0889236	-0.0075553358	0.39465123	-0.13953748	0.3665583	0.75452864
SRR7408426	1.1838291	-1.710765	1.5070527	1.5713451	-0.22249329	0.4460298	-0.17052972	0.40379018	0.9426534	0.9151066
SRR7408427	1.240096	-0.9296785	1.8581634	1.9572985	-0.16700506	1.177801	-0.91488504	1.6691824	1.3852438	1.060202
SRR7408433	1.4868209	-1.6625106	-0.8454699	1.1031704	-0.96825004	0.49087977	1.0205661	-0.42864087	0.18044585	0.7725376
SRR7408437	0.12394327	-0.42162392	0.90694326	1.3219137	-0.43026578	0.8261092	-2.4097402	0.7252292	0.85378325	2.0491815
SRR7408438	1.1231505	0.07355371	1.8789985	1.9565258	-0.59453666	-0.19160044	1.0733219	-0.13905492	0.5045247	1.051571
SRR7408444	0.17769471	-0.32979903	1.1808022	1.6443498	-0.5467106	0.2904784	-0.7541355	1.0234494	0.23485261	1.3897363
SRR7408446	1.737605	-0.27431262	-0.2453857	0.960417	-1.0025802	0.8677368	-0.5869721	0.36631048	0.46485972	1.7387363
SRR7408448	0.8361124	0.31606427	0.8646166	1.7896941	-0.6444957	-0.96506596	1.5107851	-0.006188333	0.5103314	0.6787686
SRR7408449	0.5149605	-0.5184386	-0.58921534	0.42996955	-0.9283025	0.23695426	0.762995	-0.5502231	1.2843424	2.1588078
SRR7408454	1.5449444	0.15854087	-0.81203645	0.6755146	-1.0661792	-0.09103915	-0.8754494	0.19338748	0.5682523	1.8010701
