,n_counts,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var,cell_type,subtissue,sex
SRR6531548,175656.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cerebellum,F
SRR6531550,188936.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531555,109161.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531556,104017.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531557,171050.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531558,160759.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531559,160946.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531561,150036.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531562,40112.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531563,38010.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531564,187504.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531565,177283.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531568,139929.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531569,135712.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531570,161936.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531572,155098.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531577,80317.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531578,73008.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531579,110327.0,0,0,10.968420028686523,1.2601511478424072,neuron,Cortex,F
SRR6531580,103312.0,0,0,10.968420028686523,1.2601511478424072,neuron,Cortex,F
SRR6531581,91843.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531582,1546758.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Hippocampus,F
SRR6531583,83773.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531584,149733.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531585,134515.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531586,10689.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531587,10285.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531588,43670.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531589,41004.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531593,1618978.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Hippocampus,F
