	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5	scvi_6	scvi_7	scvi_8	scvi_9	scvi_10
SRR6531548	0.77990025	0.7587174	-0.92604804	1.8474942	-1.4267902	-0.6473619	0.8017243	0.21100807	-0.22753787	-2.0194256
SRR6531550	0.53087354	0.91544354	-0.12137586	-0.7523948	-1.0907491	0.1369124	-1.1695993	0.7683641	-0.16332012	-1.1372312
SRR6531555	-0.52111036	0.86186874	0.98038054	0.19949746	0.24005544	-0.1549781	0.37071	0.48497126	-2.0387979	-0.60016525
SRR6531556	-0.51577085	0.88966024	0.9738653	0.18219376	0.1730715	-0.12947991	0.28789198	0.50438607	-1.9950964	-0.60562736
SRR6531557	-1.2491379	0.8372034	0.27442184	0.6005305	-0.36156034	0.4852137	-0.26310515	0.6225202	-2.0252287	-1.2922611
SRR6531558	-1.2781012	0.88873005	0.2238707	0.5509722	-0.3545943	0.49807423	-0.3448549	0.5679627	-2.031408	-1.2906046
SRR6531559	0.121968806	0.20640743	0.06763148	-1.0601891	-1.0877571	1.1489646	-0.90916604	0.9641142	0.3405947	-1.7717904
SRR6531561	0.12808785	0.28653473	0.046377003	-1.0333055	-1.074276	1.1644862	-0.95845526	0.97023505	0.44680625	-1.7887734
SRR6531562	1.1105304	-0.647477	0.1838612	0.9248482	-0.63092136	2.7682705	-0.24980575	0.16601872	-1.7258861	-1.8899499
SRR6531563	1.1007216	-0.6348419	0.1653868	0.9183978	-0.60205364	2.7534688	-0.26054317	0.15936875	-1.7355514	-1.845639
SRR6531564	-0.029465199	-0.41166025	-0.013166368	-0.91562724	-0.21575928	0.88786834	-0.2989977	-0.118035614	-0.6481723	-2.098437
SRR6531565	-0.0721634	-0.31170532	-0.02440381	-0.93776494	-0.19850585	0.9335275	-0.21024194	-0.08272463	-0.7026515	-2.055901
SRR6531568	-0.14292437	0.63370025	-0.116959155	0.48385477	-0.43382517	0.16181982	-0.6673713	-0.3206026	-1.7102389	1.1512942
SRR6531569	-0.13929182	0.74590003	-0.035987973	0.48040998	-0.31837213	0.16161186	-0.7422288	-0.27505952	-1.6667011	1.1129063
SRR6531570	0.66117215	-0.4612576	-0.3019718	-0.8536392	0.4997332	0.49497753	0.12509914	-0.69781667	-0.30562592	-1.9169663
SRR6531572	0.75442713	-0.42697513	-0.33537364	-0.8269139	0.56273544	0.42128265	0.15157889	-0.77948385	-0.2732604	-1.8769339
SRR6531577	0.08505151	-0.31487763	-0.23521054	-1.1849413	1.0533633	0.8133268	-0.10528228	-0.33923	0.58172745	-2.2685013
SRR6531578	0.10588041	-0.39849833	-0.28821373	-1.1853272	0.99259067	0.6421098	-0.18793142	-0.3803299	0.6166503	-2.2902424
SRR6531579	-0.2553528	-0.9948891	-1.0299393	0.6980368	-1.2249839	1.9951668	0.5759765	0.63450027	-2.0434625	-1.7397585
SRR6531580	-0.231202	-1.0318742	-1.0338953	0.670792	-1.1694367	2.020337	0.58853745	0.60537565	-2.0517032	-1.7406248
SRR6531581	-0.7324392	0.69265616	0.7642581	0.78589416	-0.36483625	-0.43698448	-0.44787592	0.31130213	-1.6452887	-1.1448207
SRR6531582	0.21875131	0.6270536	-0.82822704	1.0429966	-0.95997745	-0.26093286	1.7861254	0.16444147	-0.3152246	-0.22617461
SRR6531583	-0.66014606	0.69710565	0.7958441	0.77745414	-0.40320215	-0.40830857	-0.4293731	0.27954334	-1.655634	-1.187626
SRR6531584	-0.68774897	0.15575224	-0.60688484	-1.3768864	0.25765073	-0.041421294	-0.93325824	0.7549362	0.85423	-1.4045043
SRR6531585	-0.59971637	0.19531012	-0.52025306	-1.3616418	0.25407398	0.051879823	-0.9206354	0.7291329	0.8881698	-1.3605944
SRR6531586	-1.8113475	0.8090985	-1.0694697	1.9515988	1.9766071	2.311204	-0.5630576	-3.8649204	2.0438607	-0.2677188
SRR6531587	-1.8875113	0.7900725	-1.1649711	1.9023973	1.9261963	2.343098	-0.49741286	-3.8379114	2.1298983	-0.15712847
SRR6531588	-0.36309493	1.4499005	0.94884807	0.838881	0.16480833	1.0707724	0.06903309	0.43172425	-1.4957488	-0.6421639
SRR6531589	-0.3525132	1.4784787	0.98304105	0.8242867	0.1991098	0.9565734	0.07257339	0.5357346	-1.4690552	-0.71570307
SRR6531593	0.23585	0.5951601	-0.80983233	1.026322	-0.9727902	-0.2559354	1.7552543	0.19579083	-0.3377776	-0.16562405
SRR6531595	1.6547034	2.064695	-0.23128319	1.6490217	-1.7112553	1.3762987	-0.38757718	0.7509307	0.21725672	-1.2782749
SRR6531596	1.6788609	2.1230798	-0.25170213	1.6834146	-1.7085038	1.3313546	-0.48099333	0.66298467	0.2498104	-1.2131006
SRR6531597	0.58191085	-0.21021982	-1.3238064	-1.1464784	-0.3451003	-1.2283604	0.29157463	-0.21240157	1.1104417	-1.2737954
SRR6531598	0.6721203	-0.1802651	-1.3346565	-1.0951457	-0.43899545	-1.2644321	0.3452565	-0.3906787	1.1326323	-1.2445658
SRR6531599	-0.6124038	-0.1389183	1.7356687	0.25331008	-0.3700906	-0.17142099	0.72334504	1.050525	-0.3712737	-0.19917007
SRR6531600	-0.5879939	-0.16656776	1.7075835	0.27421772	-0.37915194	-0.17255598	0.66847277	1.012048	-0.356476	-0.2372215
SRR6531601	0.96672285	1.9207734	0.27335712	2.2780833	0.46637332	1.696517	2.1778543	0.3829773	0.3918484	-1.3657722
SRR6531602	0.8822794	1.9092201	0.32610774	2.2292776	0.4166485	1.702467	2.1394315	0.37983173	0.39013714	-1.435823
SRR6531608	0.73879284	1.4838728	0.65224314	1.235366	1.3138659	0.3716207	-0.78366333	0.9075609	-1.2976475	-0.48342186
SRR6531609	0.69325423	1.5099994	0.7314853	1.2646681	1.1994897	0.40949506	-0.71744627	0.9195024	-1.222049	-0.43539536
SRR6531610	-0.38776946	-0.13743778	-0.62831235	-1.3620627	-1.2984169	1.5267649	-0.57621634	0.6748374	0.27232128	-1.8378621
SRR6531611	-0.39582795	-0.15934524	-0.62365127	-1.3560055	-1.2403176	1.62943	-0.6074149	0.6941627	0.33516032	-1.9116274
SRR6531612	-0.88820416	-1.1724327	-0.72172856	-1.4107821	-0.34282675	-0.35575542	-0.24914587	-0.13149816	-0.92780066	-0.44519
