X_scVI1,X_scVI2,X_scVI3,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
0.776648,3.955001,-1.1967136,-5.9252634,-4.5735626,1.7636487,3.688624,1.5232038,2.0702462,-2.0086582,-1.0529742,-2.3064568,1.2699085,0.43332967,-0.08404134,-1.6408588,-0.16432647,-1.3533583,0.6338956,0.44513342,0.4003612,-0.48080516,-0.047555733,-0.8983659,0.32878044,0.3289888,-1.1153315,-1.6620389,-1.3180293,-0.25100335,0.7530572,-0.8161705,0.5582084,-0.47704095,-0.94192153,0.88448334,-0.54790246,0.40021724,-1.0613791,0.9958317,0.22476885,1.3425967,-0.6297884,-1.4520214,-0.4284989,1.3612341,1.549387,1.1952846,1.9845486,-0.7391007,0.6682805,0.8857719,0.14712492,0.5036354,0.5812202
1.5726478,4.562888,-1.513355,-8.652168,-4.8843665,-1.7722144,1.0302255,1.2675686,-0.99674124,-1.2488004,-0.7239252,0.26784253,1.591795,0.8262982,1.2097034,-0.116407804,-1.3680176,-1.3391677,0.29190987,1.926572,-1.0327839,-0.56757224,-2.055211,1.2324988,0.6611724,1.3942775,-1.6247759,0.6624014,0.9392968,0.27645788,-1.5661789,0.29639703,-0.38074082,1.1148565,-1.3394384,-1.6198325,-1.1194476,1.2826734,-0.39246058,-0.56095326,-0.869154,1.6454837,0.87215817,0.67729473,-0.24356252,-0.91784126,-0.48405173,-0.45613283,-1.5297011,-0.033194438,-1.0724659,-0.8411822,-0.86032504,0.24186112,-0.12109421
2.05861,4.951691,-1.0831385,-8.741554,-4.9608555,-3.1096404,0.2037008,-0.6923,-1.9477032,-3.4094563,-0.64377904,-1.3970876,2.3232574,0.26157966,1.4423488,0.41429162,-1.0055591,-0.14602536,0.08615083,-0.5681014,-0.27948397,0.07075624,0.449279,0.031430982,-1.2987633,-0.025540356,0.12304017,-0.31779477,0.28590104,-0.5543197,0.43918604,-1.1033716,1.0829263,-1.1701438,0.81916696,0.10157546,-0.9163898,0.27159613,0.84337974,-0.4225819,-0.52196467,-0.8123151,0.1806434,-1.5095956,0.0833243,-0.6493868,-0.54029965,0.73734397,0.8726812,-0.85930175,0.21709442,0.55450124,0.3372224,-0.16073133,-1.3238962
1.2840958,4.4162636,-1.4364073,-7.9702024,-4.9104743,-0.38323978,2.2540774,1.2064489,0.38139862,-0.6408595,-0.9029283,-1.949246,3.1099937,1.2446014,0.6647046,-1.900195,-2.218634,-0.55516934,0.55096024,2.5780807,0.682777,-1.0215061,-2.0152783,0.8889816,-0.019295288,0.89046085,-0.45956624,1.2710356,0.99452966,1.1233997,1.5116361,-0.30970886,-1.4005622,-1.2026575,-1.078907,0.23354891,-0.29018152,0.4576322,0.08680151,-1.718509,0.4137926,1.3908188,1.6060888,-0.3338592,-0.9980537,-0.0796011,-2.0126061,-0.27164856,-0.8909867,-0.84450585,0.5176678,-1.3936589,0.8175604,0.5037009,0.00944674
3.0168066,4.4052734,-1.1788827,-9.4169235,-3.0679386,-5.212177,0.15011235,-2.5808032,-1.1688654,-2.1513329,0.33573043,2.190365,1.9754379,1.6419165,0.32696852,-1.2751625,-1.363601,-0.10516881,-1.1409321,-1.0841604,0.34971723,0.48830628,0.7955489,-0.31211743,-0.039587878,0.501307,-0.5891263,0.7997067,-0.68191385,-0.6845949,-2.2072814,0.7130744,-0.17702533,-0.31092256,-0.46307662,-1.3505161,0.24846783,1.8644639,1.0712812,-1.7163184,-0.77315927,0.61187106,-0.1432214,0.92200434,0.8692048,0.1334283,-0.64622235,-0.2875509,-0.262164,0.47116524,0.8712518,1.546739,0.24834752,-1.4028492,-0.7646464
1.0946031,4.399633,-1.7914017,-7.6885443,-6.1247993,0.9076722,0.8216218,-1.0857966,2.1184583,-0.66948515,0.3396998,-2.4599047,2.3596878,-0.9120514,-0.27257377,-1.2540839,-0.8772078,0.98812866,-0.8804559,0.43724734,1.3800198,1.1095383,-0.5526315,0.23361686,0.13317539,-1.1770338,0.8315408,-0.11503265,-0.10265107,0.64035344,-1.656816,0.40720284,0.90512425,0.6754307,0.54759634,-0.9444071,1.7757181,0.63772374,-0.8067728,0.73114115,1.8431333,-0.70155436,0.8458001,-1.7091066,-1.4023181,-2.8814688,-0.09170163,0.777341,1.0287403,-2.7769732,-0.31793326,1.8696066,0.7954194,0.69901,-0.06522167
1.9582417,5.843169,-1.3816442,-9.22216,-6.5554156,-0.95002556,-0.27668977,-0.5003853,-0.07646431,-1.5924681,1.0856185,-1.6613485,4.3833175,-0.4319549,-0.6785306,-0.6454142,0.030884162,1.4210768,-0.9564613,-0.2819141,0.56201935,-0.5552322,-0.57652044,0.5064947,-0.41233078,-1.3169106,0.63949364,0.76107126,-0.32591057,0.3976581,0.24931313,-0.13135777,-0.21031046,-0.29651162,1.30193,-0.155005,0.75513303,-0.4749667,0.6612961,0.25626317,-0.22359024,0.94754684,-0.77706766,-0.12396134,-1.3444415,-1.4869819,1.0298499,-0.4866574,-0.520337,-0.24375562,-0.15483357,0.4101519,0.015007571,0.21909833,-2.4129739
1.7280688,3.4548547,-1.9628214,-6.9167833,-1.8661077,-0.54285973,4.104866,2.2930667,2.0754802,-1.0477667,-0.09441245,0.2957089,-0.30381954,0.19744101,1.751855,-1.5891045,-1.0861844,-3.5005774,0.11871903,-1.3011587,-0.034787487,0.38152564,0.89468026,0.3102792,0.8131356,0.29312682,-0.90538335,-0.38225293,-0.3117817,-0.23431504,0.42874452,1.0912987,0.55800223,0.5747975,-0.24946947,0.3724973,0.67178786,0.17476888,-0.15948339,0.21843264,1.49104,1.1883107,0.115720786,-0.4622397,-0.05670087,0.77575,0.5293234,-0.6001374,-1.0159574,-1.128193,-0.74780875,-0.3389342,0.10780321,-0.52302516,1.4294183
1.0242426,4.145563,-1.1976143,-6.438876,-5.0392256,-0.33163774,1.9681221,1.5653036,2.314412,-0.10265834,-1.0713558,-0.3540167,1.8216119,-0.042867113,1.0535249,-2.3889115,-1.1368669,-3.2339342,-0.25458732,-0.0018987607,-0.30257472,-0.18863864,-0.07727206,-0.86284846,0.29351467,-0.46153757,-0.08746683,0.199637,1.0353724,-0.13127722,-1.3050047,-0.3290482,1.4123693,1.634259,-1.8164493,-0.11666545,0.8997993,1.5216881,-1.4167604,-0.1372924,0.122571714,0.06935312,-0.23512577,-0.8602623,0.19844463,1.209471,0.16220944,0.46023136,1.7803488,0.5488469,-0.03881344,0.7604486,0.52621806,0.45301643,0.37985227
1.7266436,5.0662704,-1.3935258,-8.359373,-6.9518065,-2.01884,-0.29913983,-0.058939576,0.4945558,-2.2263641,0.68489903,-1.6998715,3.2485363,0.40571356,-0.3033482,-1.047478,-1.4405599,0.24959242,1.3770682,0.560952,0.2898872,-0.63863266,-0.45976827,0.30931145,-0.72309554,-1.1395963,-0.0068370383,1.4157001,-0.73212767,-0.04330378,1.9791527,0.16651106,0.624372,-0.21910088,1.1523782,-0.17626433,1.3861727,-0.02405198,0.19804831,0.77462006,0.40517557,0.6845792,1.2767357,1.1451994,-0.46239355,0.19237024,0.76425314,-0.33989033,-0.60894024,0.24295627,2.0610154,-0.057243813,-0.7643431,0.18140696,-1.3666664
