mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
Gnai3,372572.0,True,1329.0,311.2548036758563,195439.88234521647,1.6290813124785297
Narf,272317.0,True,1655.0,227.49958228905598,120274.8288041732,1.5552109870223516
Ngfr,21794.0,True,400.0,18.20718462823726,8500.361720913208,2.191275234099968
Ccnd2,19938.0,True,684.0,16.656641604010026,6797.417959614757,1.9266185004547798
Th,4257882.0,True,63.0,3557.127819548872,28854420.189334128,3.6634977767916177
Drp2,175604.0,True,986.0,146.70342522974101,76243.3843778901,1.7516192431142374
Lhx2,1997.0,True,1424.0,1.6683375104427736,943.5479347756236,1.6058044167301655
Cdh4,326112.0,True,8.0,272.44110275689223,1982736.7249981142,8.287878821576983
Ckmt1,407117.0,True,251.0,340.1144527986633,339155.59892973804,2.4794997314337603
Arvcf,282928.0,True,1794.0,236.3642439431913,124159.38895454917,1.5242130515010293
Mx1,1482.0,True,810.0,1.2380952380952381,369.820353559484,1.8388029301829947
Hk2,3879.0,True,1737.0,3.2406015037593985,1901.1076143536097,1.5366145462896608
Sez6,633380.0,True,616.0,529.139515455305,536642.6393820393,1.9807919865443475
Serpinf1,7447.0,True,108.0,6.221386800334169,3752.1691743293577,3.136577940827751
Il12rb1,335.0,True,1744.0,0.27986633249791143,36.474284931950834,1.5346960279261217
Kcnn3,170619.0,True,1170.0,142.5388471177945,70518.05137425504,1.680595179827567
Car4,31932.0,True,126.0,26.67669172932331,17291.70558503282,2.978444069625524
Bcl11a,158108.0,True,346.0,132.08688387635755,85930.06267899403,2.255065403180415
Mmp11,15479.0,True,676.0,12.931495405179616,5217.251156039486,1.9360773363994528
Mmp14,30167.0,True,103.0,25.20217209690894,17315.499226047283,3.173196765702531
Zfp276,76397.0,True,1934.0,63.82372598162072,23854.317563697427,1.4957039957029996
Col6a1,14502.0,True,352.0,12.115288220551378,5594.1606105564915,2.248091110860256
Ramp2,16064.0,True,1762.0,13.420217209690893,7320.350861825691,1.5299762666936545
Lsr,7097.0,True,865.0,5.928989139515456,4281.855321134498,1.8089097926777782
Ube2c,2482.0,True,530.0,2.073517126148705,846.2989385392132,2.045486515261355
Tbx21,937.0,True,853.0,0.7827903091060986,186.00461996686255,1.8136796149169374
Sost,1235.0,True,1389.0,1.0317460317460319,238.75149970802147,1.6120540215650065
Nkx2-1,6340.0,True,73.0,5.296574770258981,4999.526518358326,3.480761471993185
Irx2,1143.0,True,1159.0,0.9548872180451128,342.5498026001459,1.6846386925334071
Jup,476107.0,True,360.0,397.750208855472,387976.3581207758,2.2386944195078184
Fkbp10,2665.0,True,1036.0,2.2263993316624897,668.1451887802003,1.7318275718310714
Gstt3,597.0,True,569.0,0.49874686716791977,133.5562275253351,2.016245130849153
Gramd3,15602.0,True,1009.0,13.034252297410193,4698.185280648667,1.7430900142685954
Smo,7569.0,True,160.0,6.323308270676692,4005.618628511077,2.7826635188095414
Crnkl1,63032.0,True,1422.0,52.65831244778613,20438.947533270188,1.6060534004629976
