	scvi_1	scvi_2	scvi_3
SRR7408400	0.776648	3.955001	-1.1967136
SRR7408401	1.5726478	4.562888	-1.513355
SRR7408404	2.05861	4.951691	-1.0831385
SRR7408413	1.2840958	4.4162636	-1.4364073
SRR7408414	3.0168066	4.4052734	-1.1788827
SRR7408418	1.0946031	4.399633	-1.7914017
SRR7408422	1.9582417	5.843169	-1.3816442
SRR7408424	1.7280688	3.4548547	-1.9628214
SRR7408426	1.0242426	4.145563	-1.1976143
SRR7408427	1.7266436	5.0662704	-1.3935258
SRR7408433	1.6216161	3.4637764	-1.8134868
SRR7408437	2.6104004	4.514827	-1.7892294
SRR7408438	1.1146791	2.7695358	-1.8446767
SRR7408444	1.6751575	2.6888926	-1.761183
SRR7408446	2.4194026	3.9297261	-2.5939944
SRR7408448	-0.00016158819	0.41652608	-1.8065357
SRR7408449	1.6695552	1.7338846	-2.0442228
SRR7408454	3.372339	3.400337	-3.220008
SRR7408458	1.8729246	4.0216956	-1.2939079
SRR7408460	2.4333308	2.2464259	-1.9939322
SRR7408461	2.76931	3.8206756	-1.1520964
SRR7408462	2.6758852	4.3529496	-2.025227
SRR7408470	1.9179101	2.5073586	-2.280025
SRR7408472	0.6282125	1.2759914	-1.4946947
SRR7408473	0.6129423	2.076763	-1.6054235
SRR7408474	1.9456842	5.1636033	-0.9448124
SRR7408475	2.183078	4.1630793	-2.5994482
SRR7408482	2.4831805	4.794433	-1.0861844
SRR7408483	2.589599	3.3256147	-1.2310985
SRR7408485	2.10867	4.590251	-0.9985416
SRR7408486	1.534503	3.2253444	-2.3497796
SRR7408487	1.1617322	4.4847283	-1.2341652
SRR7408493	1.2340157	4.0966644	-1.3150613
SRR7408494	1.8926566	3.1061995	-1.4234425
SRR7408498	0.935292	4.247511	-0.87203085
SRR7408517	1.4545612	4.5174346	-1.1308594
SRR7408518	2.8611188	3.27629	-1.9354672
SRR7408519	2.135291	3.4014957	-1.6974549
SRR7408520	2.3348603	5.536397	-1.0533345
SRR7408521	1.4576724	1.9807374	-1.4180301
SRR7408522	-0.58301145	4.0304856	-4.283285
SRR7408523	1.0169842	5.2947783	-0.7595918
SRR7408524	1.1578774	3.6940634	-2.2547798
SRR7408525	0.9123641	5.0074654	-1.4978215
SRR7408526	0.8851843	4.780575	-1.4489489
SRR7408527	2.6281857	4.3867145	-1.9503708
SRR7408528	1.8012664	5.4344783	-1.1991235
SRR7408529	1.7939367	5.624678	-0.91945255
SRR7408530	1.2980196	5.00242	-0.9529997
SRR7408531	2.2492747	4.7762933	-1.0274193
SRR7408532	2.398429	5.3355966	-2.0256262
SRR7408533	1.2118239	5.1874537	-1.4131974
SRR7408534	1.7598195	3.968096	-2.133748
SRR7408535	3.2906947	4.4744277	-1.6893187
SRR7408536	0.3718865	1.9981005	-2.5269542
SRR7408537	2.4101734	5.6138654	-1.6941745
SRR7408538	1.0821292	3.612725	-1.5078413
SRR7408539	1.7555623	5.0722456	-0.6385
SRR7408540	2.7868297	2.7464342	-3.2809658
SRR7408541	2.3783374	4.95379	-1.248993
SRR7408542	2.5620604	4.714699	-1.2738433
SRR7408543	2.5428288	2.7281325	-3.0976572
SRR7408544	1.3233695	5.230104	-1.0507905
SRR7408545	1.9283803	4.4729877	-1.9725603
SRR7408546	2.4088726	3.1456084	-2.5120943
SRR7408547	2.798523	3.8759649	-2.7225022
SRR7408548	1.0811577	2.2747505	-1.753628
SRR7408549	1.5454149	3.963154	-0.83371425
SRR7408550	1.9488993	5.954803	-1.0124224
SRR7408551	0.9469444	4.8912063	-1.1398473
SRR7408552	2.5416846	4.077774	-1.7657974
SRR7408553	0.84490097	3.2210996	-2.2443535
SRR7408554	2.5884051	2.3962815	-1.7000077
SRR7408555	1.3044105	4.511506	-1.175602
SRR7408556	2.8080618	4.1643586	-2.2687862
SRR7408557	2.3889425	3.1884913	-1.8891282
SRR7408558	1.2243941	4.822931	-1.026846
SRR7408559	1.5912933	4.6367116	-0.88173985
SRR7408560	1.7773464	1.9767473	-1.691052
SRR7408561	2.2880049	2.7723181	-3.4282165
SRR7408562	0.62155205	3.4431238	-1.6999495
SRR7408564	2.0083525	5.555982	-1.150348
SRR7408566	2.8295112	5.842747	-1.8334993
SRR7408567	1.7879128	4.757193	-1.3780888
SRR7408569	2.2869477	1.9417744	-2.8793702
SRR7408570	1.6047528	3.365795	-2.1112776
SRR7408571	1.7657926	5.583917	-0.92532
SRR7408572	1.2616858	2.309759	-1.9378172
SRR7408573	1.3783913	4.9498906	-1.1916946
SRR7408574	2.5975907	3.7418778	-2.3688989
SRR7408575	1.5579772	3.0954566	-2.3380885
SRR7408576	2.3805408	3.9988184	-1.5871598
SRR7408577	2.1334393	5.622891	-0.8998027
SRR7408578	2.34694	2.1923847	-1.8638103
SRR7408579	2.0302768	2.454796	-1.6308157
SRR7408580	0.9025896	2.9867423	-0.6806186
SRR7408581	3.1067047	4.040905	-2.010659
SRR7408582	1.9653139	2.3094127	-1.681081
SRR7408583	2.5745173	4.7218795	-1.5997876
SRR7408584	1.9427056	5.9207053	-0.6866814
SRR7408585	3.340258	3.8999064	-2.657874
SRR7408586	0.8517037	4.736864	-1.5444331
SRR7408587	2.3660142	2.8718915	-2.2015061
SRR7408588	1.47945	4.7944837	-1.1446067
SRR7408589	1.2781091	4.5761743	-1.5910624
SRR7408590	3.1485085	2.5075476	-2.1908677
SRR7408591	2.947511	3.6143816	-2.2008972
SRR7408592	2.7397406	2.8285015	-1.6638678
SRR7408593	2.8735127	2.5129092	-2.2085268
SRR7408594	2.3923411	1.4325755	-1.7055068
SRR7408595	2.7073395	2.2475135	-2.0319612
SRR7408596	2.2376761	4.820423	-1.5593562
SRR7408597	2.723839	2.166234	-2.4495745
SRR7408598	1.5094118	5.0054655	-1.2209475
SRR7408599	1.7039163	4.742709	-0.21997456
SRR7408600	3.077481	4.866491	-0.9244938
SRR7408601	1.1842592	5.3706317	-0.74255455
SRR7408602	2.0471985	4.9690623	-1.8183283
SRR7408603	2.0770924	3.471125	-1.5580304
SRR7408604	2.1959958	1.4064353	-2.067431
SRR7408605	1.9268434	5.5632663	-1.0964874
SRR7408606	2.3104942	5.3143487	-2.1122444
SRR7408607	2.386429	1.9565945	-1.7854508
SRR7408608	1.414336	5.7242274	-1.9227625
SRR7408609	2.1312213	4.427775	-1.1993904
SRR7408610	2.7993348	3.9689713	-1.5869035
SRR7408611	2.8374145	3.8926954	-3.0914955
SRR7408612	2.8321986	1.5292611	-2.5818913
SRR7408613	2.0382638	3.592325	-1.4678874
SRR7408614	2.0703313	6.0373263	-1.2680942
SRR7408615	2.303789	2.9065478	-1.116129
SRR7408616	2.5873737	5.277	-1.4349601
SRR7408617	2.3635945	3.3959157	-0.46540764
SRR7408618	0.69438714	4.7061934	-1.7943392
SRR7408619	2.841413	4.100225	-1.3880724
SRR7408620	1.7490506	3.9142096	-1.4359177
SRR7408621	1.5187247	5.77714	-0.7450453
SRR7408622	2.6470332	5.4678836	-1.3432007
SRR7408623	1.5057385	3.885252	-1.5749917
SRR7408624	1.6491323	3.908244	-1.5434384
SRR7408625	2.443399	4.6148725	-1.6999567
