X_scVI1,X_scVI2,X_scVI3,X_scVI4,X_scVI5,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
2.8154447,2.2135437,-2.6782122,-2.3653522,0.079998195,-6.669531,3.6799836,-3.8194973,-4.0796533,-1.7453249,-1.5737003,2.290843,1.2842757,-1.426591,2.5434613,2.3136368,1.0433624,0.4190056,-1.0100763,-1.9571699,-1.5823781,1.1325729,-0.70778275,-1.0184029,-0.7081585,-0.59803236,0.8802179,-0.24473074,0.12160798,-1.3887681,-0.55927485,0.98340315,0.34718153,-0.09416624,0.16177508,-1.6525244,-0.69223094,-0.48790106,1.2020639,-0.83958757,0.9043391,-0.98971564,-0.32649964,-0.55616194,0.66553783,-0.5431478,0.37191418,0.633571,1.058897,-0.9041301,-0.14405407,-0.5003679,-0.96193147,-0.3398022,0.68731415,11.715891,7.8125596
4.194799,3.4734497,-3.129057,-4.220302,-0.050568607,-10.02181,5.44455,0.2448316,-1.2489651,-2.6774175,-0.7854547,-0.6736708,-0.91448355,-1.320978,0.5922359,-0.7105717,2.080367,-0.34876356,-0.6060576,-1.2915028,-0.59239715,2.7893584,0.769112,1.1925381,3.4501286,1.9096614,-0.24503677,1.7729254,2.5690858,-0.28070977,0.470607,-0.5338135,-1.4125737,0.11921793,0.4628937,-0.14791828,0.808432,0.13502109,-0.20765568,1.6776273,-0.65458345,0.93535316,0.8529062,-1.5144044,0.13796797,0.68758833,1.2659895,-0.9296747,-0.42294273,0.52819246,-0.2265311,-0.9060062,1.1792833,1.4969503,-0.33211362,10.479783,10.463025
4.5952415,4.248564,-2.0418067,-4.6269007,0.6814691,-9.488646,6.008589,0.606441,-0.3404613,-0.9986991,-4.7601056,1.319927,-3.8464534,-0.46885484,2.979114,-0.94720906,0.989008,-0.62127763,-1.4544806,-1.2253662,0.6946146,0.4186982,0.5957616,0.10640641,0.17810781,-0.21648765,-0.43578425,-0.42703092,-1.0196722,0.24340028,0.19563915,-0.4968711,0.3963499,-1.1467094,0.5263349,-0.5067969,-0.57801527,-0.4028699,-0.75546074,0.13200629,0.54718393,0.046511788,0.25347915,-0.03520911,0.42251477,-0.53362983,-0.8045004,0.29462197,1.0507333,-0.00542534,0.026604438,0.7531812,0.61693126,0.72887707,0.7740499,10.454663,12.060012
3.8234928,3.198303,-2.855473,-3.7081637,0.02845386,-9.345911,5.20173,-1.0779392,-3.9356928,-2.2684875,0.55719626,0.88010776,-1.1937906,-1.1446013,2.6502812,0.86511546,0.26738885,0.510708,-0.061519314,-2.444524,-2.9521372,2.0520627,-1.5156436,2.2108784,2.5110004,-0.05576161,0.98727745,0.44022855,1.6992757,-1.5703615,-2.0422637,-1.5547167,-0.93372357,-1.587627,1.1667565,-0.7947044,0.82197636,-0.008587679,0.39272946,1.0830686,-0.26668087,2.2579055,1.855541,-1.3806987,-0.2406272,1.4744022,-1.1408755,0.52366275,0.03841235,1.3673946,3.6061928,1.552225,0.81474566,-1.4626695,-1.525323,10.620148,9.731761
3.7759883,4.2093706,-2.5939784,-4.771865,0.5869397,-10.518632,4.7631607,4.21036,1.3484176,1.5624177,-3.1515548,1.8850669,-2.9407005,-1.5546806,-1.1033578,-2.3158915,1.0025647,-1.4616057,2.2342865,-1.5076613,-0.020054929,0.38655394,2.0682552,-0.8605878,1.1311101,-0.9030908,0.41417205,-0.71889925,-0.73761547,0.52740985,1.342965,1.0472986,0.1803999,2.59157,1.8279201,1.5695968,3.4339032,-0.823051,0.3125146,0.81368667,1.2995191,-1.0022972,0.8163277,-1.0840399,1.5784371,0.3614201,0.7889272,-0.03326169,2.0001066,-0.11762047,-2.2488976,-0.117567725,0.5439636,0.030604128,1.3403684,11.322309,11.930311
3.6204817,2.8124063,-2.3625321,-2.3177905,0.29734907,-8.587643,7.303657,-1.6018184,-1.2935687,1.1291993,0.53564125,2.9142118,-0.38612542,1.050462,4.462682,0.7605623,0.7188002,2.077508,-0.6319857,-0.85256904,-0.89173466,-0.98464924,-1.579189,1.3123447,-0.48648778,0.6339462,1.0007123,1.3378527,-0.72783077,0.3875234,0.2824639,0.951215,1.4621594,2.7406752,0.3442404,0.0092050405,-1.2993166,-0.415035,1.7171673,1.6927859,-0.89792883,-0.008295079,-0.3045039,1.2268163,-0.42553762,-0.004542845,-2.8089497,0.07745438,-0.042834695,0.52854866,-0.6554328,0.32378265,-0.7201198,0.6611224,0.006217393,11.297778,8.107829
6.264864,4.0736256,-2.5838175,-5.439758,0.23091623,-10.472396,8.049173,-0.30988452,0.21273333,-0.49341923,-1.4642715,2.381729,-3.9731083,-0.11006837,3.2559397,0.385274,-0.07158496,1.9029247,1.1180203,-1.5360113,-0.2824432,0.37215295,-0.7514556,0.74055594,0.78022087,-0.40629774,-0.54667175,-0.36021847,-0.91977733,-0.7803564,-1.2342452,-0.36500186,-0.74804807,0.10169031,-0.9826134,-0.10344194,-1.1620457,0.65133065,0.29609972,-0.54757965,0.54838693,0.6461702,-0.54800975,0.8822647,-0.67634475,-0.9331378,-1.374005,-1.6445926,-1.0792228,1.6040711,1.356355,0.58185154,0.4092597,-0.07495096,0.08802272,8.99785,12.904778
2.094613,2.331999,-2.7969499,-2.6911428,-0.13712952,-7.7819386,0.79649484,-1.0279545,-5.7348623,-2.434196,0.15513638,1.6422076,1.9520209,-0.7167955,-0.29537806,0.54471225,1.989567,-1.3332807,-2.3178492,-1.1914566,-2.0664604,0.88524085,2.250468,-0.4412541,-0.19710755,-1.2283524,1.41237,1.5527452,0.33340433,1.9010437,-0.12453533,1.3721076,-0.06768515,0.9350334,0.08795632,-0.021693371,1.2758621,1.0543278,2.0316033,-0.55718267,0.54092693,0.53406686,-0.4866108,0.63000166,0.20273606,1.4662856,-0.6052406,-1.9130074,-0.43096808,0.05736605,0.31122503,-0.36353132,0.17543726,0.84423256,0.03959203,12.3940735,7.729939
3.7605186,2.7399528,-2.5267873,-3.4461179,0.089065224,-7.4620852,5.620079,-1.4097568,-3.8410623,-1.4413656,0.37424764,1.6536571,0.7016842,-1.6758293,2.3465378,0.7163094,0.11994626,0.15431191,-1.1586744,-3.0360723,-2.1538436,1.3366451,2.964164,0.9204157,0.123291224,0.47372267,-0.59892017,-0.5124809,-0.49651596,1.4166164,-0.98244417,1.2615794,0.30901048,1.7151852,1.1466314,0.50319064,-1.9076577,-0.8057341,0.46828613,1.0614781,0.09289373,-1.075277,-0.4301817,-0.9880266,1.7032241,2.7566202,0.49219567,0.20208426,2.132401,0.09022751,-1.7545284,-0.34133613,-2.1482952,0.11028508,0.525768,10.442417,9.019261
5.098819,3.9882689,-2.9685297,-4.0717053,0.4020668,-10.1081295,7.8734207,-0.19071025,0.11754325,-0.7024442,-0.18943425,2.683312,-3.2685378,0.55541486,3.1746197,-1.0391692,0.5348282,0.5984893,-0.8841677,-3.3091302,0.17586204,0.40120897,0.40135515,0.76629996,-0.097892165,-0.6400896,1.9122401,-0.35186663,0.037913576,-0.028487263,-1.06214,0.8677418,0.15098937,0.14990774,-0.085730955,-1.2415129,-0.13883369,1.2714251,0.73061085,0.93402594,0.99506783,1.3326919,0.4198724,1.5578315,0.2699358,0.38346097,-0.3267198,-0.877858,0.3905974,0.42947122,1.260659,0.6179642,0.48388928,-0.24606857,0.052682985,9.749025,11.620703
