mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
Gnai3,372572.0,True,2618.0,78.37152777777777,16863.551381629888,1.3637220983089824,5
Cav2,46685.0,True,909.5,103.35416666666667,22307.762630662022,1.4527056256298476,4
Klf6,203869.0,True,2523.0,158.23611111111111,67049.21931862175,1.3173951477325885,4
Ngfr,21794.0,True,833.0,2.454861111111111,383.405620886566,1.5601429620426572,4
Wnt9a,7416.0,True,2247.0,4.739583333333333,702.318706445993,1.0236995932675887,1
Axin2,54958.0,True,2200.0,41.97222222222222,7513.413859852883,1.3695121212279837,5
Gna12,51915.0,True,2489.0,14.399305555555555,2504.345225996903,1.2675513013237014,5
Pih1d2,4295.0,True,2535.0,3.388888888888889,282.32907471931856,0.9565966767261207,2
Ccnd2,19938.0,True,1615.0,29.708333333333332,3678.2700348432054,1.176468330613919,3
Nalcn,170713.0,True,2651.5,267.0520833333333,81972.34919425088,1.434939762259977,6
Th,4257882.0,True,14.5,4600.65625,64423423.10442073,4.265867997240445,6
Drp2,175604.0,True,1120.5,123.38888888888889,37557.13046844754,1.6318414039620466,6
Lhx2,1997.0,True,2191.5,0.003472222222222222,0.003472222222222222,0.9680302634055481,2
Glra1,5962.0,True,1825.0,9.65625,1124.449368466899,1.0731398366962044,1
Scpep1,124532.0,True,408.0,136.43055555555554,25634.47599690283,1.0696286140620692,1
Tpd52l1,62445.0,True,1618.0,98.81597222222223,19395.063576751836,0.9711975410990178,1
Cdh4,326112.0,True,91.0,210.55555555555554,5002577.167634533,3.177577973055309,6
Arvcf,282928.0,True,2765.0,75.81944444444444,16850.232094463798,1.137330622441878,3
Dbt,22582.0,True,1855.0,25.42013888888889,4285.875133081688,1.235228427058393,4
Mx1,1482.0,True,399.0,4.444444444444445,1412.2895857530004,0.7093992354500195,1
Egfl6,10496.0,True,843.0,9.71875,2036.007730836237,1.5321492755989772,5
Lck,28851.0,True,1557.0,33.80902777777778,8587.806608110724,1.2335517113699273,3
Cttnbp2,90639.0,True,1068.0,54.21180555555556,9768.829546554394,1.383823181044744,5
Galnt1,51393.0,True,2323.0,40.59375,4944.520797038327,0.9708141982945113,1
Acvr1b,47836.0,True,896.0,38.08680555555556,5647.64052216415,0.9481887079235974,1
Gabra2,108292.0,True,2033.0,113.61111111111111,24116.93534649632,1.3421379427516797,4
Hk2,3879.0,True,2067.5,1.2847222222222223,143.50750096786683,1.2610307353386472,4
Myo18a,147407.0,True,2587.0,68.59027777777777,15135.608546264035,1.0377770360888598,1
Sez6,633380.0,True,181.5,377.0,148139.77700348428,2.165425801121867,6
Btn1a1,1482.0,True,897.0,4.381944444444445,794.8501258226867,0.8368537378759724,1
Sult5a1,5930.0,True,1377.0,13.152777777777779,3548.5898180410372,1.0955146739261463,3
Rpa1,120515.0,True,2383.5,120.09722222222223,27228.060201316297,1.4961231040560723,6
Serpinf1,7447.0,True,1893.0,18.145833333333332,10806.041376306619,1.3243526977528381,3
Tubgcp3,129446.0,True,1703.0,128.02777777777777,34676.59156020132,1.3399234041937378,4
Polr3d,67985.0,True,480.0,53.65625,8161.905814459929,1.0883232683400923,1
Ddx3x,300824.0,True,2094.0,279.80555555555554,98859.49516066589,1.3977564114950185,5
Kcnn3,170619.0,True,748.0,107.90277777777777,36601.816298877275,1.8124563637898499,6
Usp32,87012.0,True,2421.0,112.5,19733.23344947735,1.3520611270445642,5
Car4,31932.0,True,56.0,13.684027777777779,3152.2517300619434,2.3224794198945475,5
Dnajc5,857268.0,True,2428.0,753.3715277777778,335153.7743781455,1.1103300764706852,2
Tpd52l2,195765.0,True,1001.0,186.67708333333334,27463.668880662015,1.0234085098502528,1
Fmr1,74389.0,True,758.0,36.760416666666664,5503.750762195122,1.2245055033002432,2
Bcl11a,158108.0,True,621.5,38.951388888888886,6501.7955381339525,1.6155427297667797,4
Mmp11,15479.0,True,2544.0,8.836805555555555,1180.3112538714672,1.126288086946988,2
Hip1r,103711.0,True,2389.0,71.75694444444444,10967.578348819201,1.1277278522061374,3
Mmp14,30167.0,True,1552.0,0.2986111111111111,25.088221060782036,1.4041784466988771,3
Slc7a7,10502.0,True,2478.5,4.107638888888889,629.9012654858691,1.1703524969741312,4
Ilf2,526139.0,True,2059.0,325.06597222222223,72300.15242692606,0.8829695048510047,1
Mapk7,138640.0,True,1929.5,25.73263888888889,4509.771474545102,1.1834101695115218,2
Ift20,141922.0,True,1123.0,139.89583333333334,12251.710365853656,0.6752411150715881,1
Col6a1,14502.0,True,944.0,24.59027777777778,7842.563250096786,1.3764579222526727,4
Cnnm3,28627.0,True,2206.0,24.63888888888889,2965.081687959737,1.0820542716060935,2
Mcm3ap,82789.0,True,2417.0,48.97222222222222,10179.21176926055,1.3433384374725257,5
Pcnt,16719.0,True,1470.5,15.149305555555555,3294.8800692024774,1.0228262982091125,2
Mxd1,86530.0,True,2267.0,53.638888888888886,11583.820363917925,1.3454951120540681,5
Gmcl1,82371.0,True,2174.0,58.864583333333336,10165.162783101045,1.1790172984777723,2
Agpat3,81949.0,True,1160.0,73.25694444444444,10406.205526519552,0.9790115803666543,1
Dpp9,119193.0,True,1311.0,91.60416666666667,15809.501306620206,1.0381420818525846,1
Lsr,7097.0,True,2144.5,0.6076388888888888,25.29150938830817,1.1486553720754114,4
Gabrg1,52339.0,True,1940.0,71.54513888888889,16795.84464527681,1.4946777924767625,5
Sp1,12054.0,True,2552.0,11.690972222222221,1936.7090471351141,1.3398168498361087,5
Itgb7,2919.0,True,1613.0,5.541666666666667,838.6254355400696,0.9749445544398484,3
Efnb2,16382.0,True,2525.0,11.659722222222221,1266.7548877274487,0.7770509968133766,1
Rrp15,33606.0,True,1579.0,21.131944444444443,2220.965108401084,0.9032460071143484,1
Sync,4526.0,True,1715.0,5.486111111111111,810.0973674022454,1.047597526349856,2
Ube2c,2482.0,True,2579.5,0.06944444444444445,1.3888888888888888,0.9076555343034207,2
Smg5,171518.0,True,2741.0,104.73263888888889,23589.1652027681,1.2340421291210089,4
Col18a1,6002.0,True,1508.0,4.059027777777778,527.9442387727448,1.3898623296507422,4
Def8,149299.0,True,1957.5,129.59722222222223,34949.488772744866,1.4394061254380608,6
Nkx2-1,6340.0,True,115.0,0.024305555555555556,0.03076606658923732,0.9886198067956391,2
Irx2,1143.0,True,2747.0,0.5520833333333334,45.495535714285715,0.7410121881618106,1
Itga3,93025.0,True,1803.0,82.23263888888889,19194.806317750677,1.345149348506122,5
Jup,476107.0,True,1204.5,101.67361111111111,25847.530729771584,1.836072066595474,6
Fkbp10,2665.0,True,2236.5,0.6597222222222222,48.36464382500967,1.3615233775344704,4
Brpf1,59574.0,True,2455.5,43.861111111111114,9334.182733255904,1.3265782890358269,6
Ubl3,245837.0,True,2461.0,456.8333333333333,157580.53658536583,1.0260562600733787,1
Gramd3,15602.0,True,1500.0,7.361111111111111,1290.538133952768,1.6040966411410753,5
Tcirg1,21195.0,True,2565.0,38.697916666666664,7915.8143510452965,1.525623194864284,6
Smo,7569.0,True,1833.0,0.5486111111111112,24.513308168795977,1.3763432210831956,3
Crnkl1,63032.0,True,1687.0,27.8125,5036.7243031358885,1.4946567164340525,5
Rin2,39440.0,True,1590.0,24.774305555555557,4637.541219028262,1.5796589974227073,6
Fbxo7,95747.0,True,931.0,101.38888888888889,15374.949283778551,1.0029553312285238,1
Evx2,840.0,True,2225.5,0.0,0.0,0.6516684341500384,2
Folr1,6214.0,True,1163.0,0.3333333333333333,11.121951219512196,1.2911069313135382,3
Clpb,152647.0,True,1998.5,163.80902777777777,36417.04702622919,1.3195681686270053,4
Zdhhc4,88927.0,True,2444.5,73.26388888888889,10602.013743708865,1.0715053430526964,2
Aif1l,24365.0,True,1495.5,0.7986111111111112,64.32863917924894,1.5519570846502553,6
Ltbp1,5643.0,True,1218.5,11.125,5848.611498257839,1.2418237326599109,2
Ugp2,102396.0,True,1806.0,99.05555555555556,14019.95509097948,0.9915267211804472,1
