	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5
SRR7408400	2.8154447	2.2135437	-2.6782122	-2.3653522	0.079998195
SRR7408401	4.194799	3.4734497	-3.129057	-4.220302	-0.050568607
SRR7408404	4.5952415	4.248564	-2.0418067	-4.6269007	0.6814691
SRR7408413	3.8234928	3.198303	-2.855473	-3.7081637	0.02845386
SRR7408414	3.7759883	4.2093706	-2.5939784	-4.771865	0.5869397
SRR7408418	3.6204817	2.8124063	-2.3625321	-2.3177905	0.29734907
SRR7408422	6.264864	4.0736256	-2.5838175	-5.439758	0.23091623
SRR7408424	2.094613	2.331999	-2.7969499	-2.6911428	-0.13712952
SRR7408426	3.7605186	2.7399528	-2.5267873	-3.4461179	0.089065224
SRR7408427	5.098819	3.9882689	-2.9685297	-4.0717053	0.4020668
SRR7408433	1.3387967	0.678198	-2.516271	-1.6514254	-0.36275363
SRR7408437	4.330944	4.436286	-2.7862034	-4.270901	0.5751197
SRR7408438	1.969088	1.5945504	-1.9883982	-1.5308037	0.15601605
SRR7408444	2.4917588	2.838109	-2.6947145	-2.5583737	0.52574193
SRR7408446	3.5146432	3.7169826	-2.6075215	-4.8627424	0.2637144
SRR7408448	1.2050256	0.099904716	-2.059411	-0.45874396	0.26892272
SRR7408449	0.014329329	1.7618634	-2.1960635	-1.1167061	0.70795727
SRR7408454	2.3819277	3.7829964	-2.7509193	-3.9753656	0.7586957
SRR7408458	3.5945654	3.550648	-2.402862	-3.7307887	0.47758612
SRR7408460	1.1660506	2.3966806	-2.3210557	-3.0859132	0.7765262
SRR7408461	2.9604142	3.9141128	-2.5948758	-4.2240524	0.5814002
SRR7408462	4.3168354	4.778579	-3.143415	-5.1411276	0.66137886
SRR7408470	1.3990505	1.7110283	-2.0566258	-1.9559863	-0.022395935
SRR7408472	0.7805998	0.8269212	-1.781389	-1.4531982	0.120438546
SRR7408473	2.4180782	1.412738	-2.6020722	-1.5467024	0.41485232
SRR7408474	5.1887813	3.643159	-2.9273882	-4.4444203	-0.0489504
SRR7408475	3.0372138	2.7664797	-2.4432673	-1.8954265	0.54747486
SRR7408482	3.7851772	4.3352604	-2.129478	-4.0952673	0.4883705
SRR7408483	2.3121552	4.5764866	-2.8703675	-3.4889517	0.93733567
SRR7408485	4.752893	4.4179573	-2.1598878	-5.051963	0.42803997
SRR7408486	3.1461172	2.5411599	-2.6097293	-3.7327456	0.09463617
SRR7408487	3.3620267	2.6130214	-2.7617326	-2.8992245	0.19029441
SRR7408493	3.7646866	3.1174238	-2.828848	-3.8020697	-0.18444636
SRR7408494	2.3655324	2.9573433	-2.2964725	-3.2999415	0.52433026
SRR7408498	4.1323447	3.3910277	-2.4421968	-3.4871135	0.33535302
SRR7408517	3.5374064	3.7575405	-2.7195244	-3.36643	0.23166344
SRR7408518	2.059615	3.3204634	-2.411574	-3.4999058	0.71551526
SRR7408519	2.8697107	3.3108788	-2.4510717	-4.170913	0.4023457
SRR7408520	6.470642	4.703914	-2.4892879	-5.8402185	0.57181853
SRR7408521	1.3427893	1.2980446	-1.3674246	-2.2755952	0.4049568
SRR7408522	4.7524695	5.4149284	-1.4764638	-3.3681855	0.22029224
SRR7408523	4.9269753	2.889129	-1.9388503	-4.0209002	-0.11935136
SRR7408524	1.6897155	1.0696462	-2.5842829	-2.868414	-0.45269755
SRR7408525	4.1514225	1.9279128	-2.161199	-3.591331	-0.3820403
SRR7408526	4.444515	1.8206085	-1.7240266	-4.253497	-0.8081436
SRR7408527	3.0171273	3.6061842	-2.4570794	-4.021068	0.30029902
SRR7408528	5.087698	4.148322	-2.7396636	-4.0867457	0.11509338
SRR7408529	6.3451004	3.8684847	-2.2417488	-5.161277	0.069673985
SRR7408530	5.521188	3.1943064	-2.1858034	-4.204155	-0.28296664
SRR7408531	4.731042	4.1980114	-2.2679505	-5.0230875	0.36384448
SRR7408532	6.039279	4.3675327	-2.3216834	-5.6824217	0.09183356
SRR7408533	5.1525345	3.0830808	-2.383834	-4.6922874	-0.15670535
SRR7408534	3.0069075	2.4619873	-2.5967064	-3.287066	-0.040557887
SRR7408535	3.3612943	4.280816	-2.5558157	-5.270179	0.19124928
SRR7408536	1.6260141	1.0809991	-2.6893735	-1.4771819	-0.11882046
SRR7408537	5.2682858	4.228629	-2.657505	-5.3589973	0.40722927
SRR7408538	3.5232267	2.415138	-2.0898585	-4.2818866	0.03311846
SRR7408539	5.670846	4.1610813	-2.436181	-4.994995	0.5798609
SRR7408540	1.3343147	2.3960145	-2.6239057	-3.4440753	0.18907112
SRR7408541	5.3486433	4.669825	-1.9153594	-5.066004	0.53623605
SRR7408542	4.617856	4.8210554	-2.4056544	-5.5299263	0.65784216
SRR7408543	1.7832822	2.7787173	-2.5303993	-3.9807184	0.29972783
SRR7408544	4.879648	2.7951806	-2.532175	-3.9795659	0.050937388
SRR7408545	4.0786767	4.0324183	-2.703086	-4.965439	0.19310227
SRR7408546	2.0952253	2.7219346	-2.37542	-4.179008	0.33879456
SRR7408547	2.183456	2.4140687	-2.4890857	-3.8194973	-0.037914243
SRR7408548	2.9234927	1.6096479	-1.9711055	-3.3568254	-0.47063342
SRR7408549	4.351194	3.3126283	-2.0117064	-4.770904	0.06917462
SRR7408550	6.2032437	3.1943593	-2.1806846	-4.3529	-0.14241275
SRR7408551	4.6614857	3.053879	-2.3509278	-4.093353	-0.06839523
SRR7408552	3.5782194	3.7018015	-2.5878386	-4.900054	0.42933717
SRR7408553	2.3330827	0.8028151	-2.069858	-1.66589	-0.023842122
SRR7408554	1.0187147	2.3046834	-2.16395	-3.4763856	0.3844655
SRR7408555	3.9342012	3.6386757	-3.0006409	-4.761913	0.110153586
SRR7408556	3.2677445	3.1181505	-2.1933155	-4.4365354	0.2466957
SRR7408557	2.0333588	2.4465368	-2.421206	-3.6772697	0.20534742
SRR7408558	4.8388243	3.2608826	-2.0243678	-4.5010476	0.0027045347
SRR7408559	4.3646708	2.511185	-1.9479272	-3.3816457	0.13119441
SRR7408560	0.9622795	2.268866	-1.2333544	-2.1469164	0.2878871
SRR7408561	2.304101	3.1355026	-2.459477	-3.9299839	0.51852
SRR7408562	3.8152323	2.425658	-2.3864403	-3.6665142	-0.1387316
SRR7408564	5.527911	4.3708124	-2.6443973	-4.2900953	0.5505847
SRR7408566	5.251668	4.7817	-2.4058151	-5.847674	0.5332293
SRR7408567	3.9614239	3.1424325	-2.6147475	-4.0388393	0.015587602
SRR7408569	1.1451445	2.3866637	-1.7069832	-3.1457727	0.35639834
SRR7408570	3.0305471	1.8496447	-1.8282076	-3.1365933	-0.275516
SRR7408571	6.163039	4.2975454	-2.4764037	-5.508627	0.13805541
SRR7408572	0.59447604	1.0650612	-1.5998968	-2.0456572	0.49220178
SRR7408573	4.860629	3.8587716	-2.6613684	-4.166484	0.39500126
SRR7408574	3.0313396	3.5578282	-2.962469	-4.447322	0.42162
SRR7408575	2.1487446	1.4288983	-2.1536016	-3.3284898	-0.4465636
SRR7408576	3.304521	3.4229963	-2.1954863	-4.547473	0.34295902
SRR7408577	7.316438	5.6310406	-2.4193156	-6.342065	0.87213266
SRR7408578	0.6728603	0.82434833	-1.5029901	-2.4383695	0.08699852
SRR7408579	2.4293842	2.9120939	-1.2834582	-3.7935576	0.3908891
SRR7408580	4.1896086	1.607441	-2.0102148	-3.350711	-0.31965747
SRR7408581	2.5409427	2.9607854	-1.8241417	-3.129141	0.74251485
SRR7408582	1.1398288	1.6094154	-1.9225445	-2.3454573	0.21955255
SRR7408583	4.1214676	3.7805746	-2.0150695	-4.617923	0.32245323
SRR7408584	6.5386643	5.478765	-3.1619396	-5.1060905	0.9775214
SRR7408585	2.7285728	3.4770002	-2.9871316	-4.501957	0.6123784
SRR7408586	4.4747343	2.9605494	-2.1371908	-4.228673	0.11488581
SRR7408587	1.7633191	2.4803817	-1.7956241	-3.4273498	0.74090457
SRR7408588	5.45957	4.190447	-2.3140285	-5.6139097	0.07341954
SRR7408589	4.4592915	3.0822031	-2.2093863	-4.3959093	0.020203147
SRR7408590	0.536938	2.6917684	-2.516921	-3.5766475	0.4496188
SRR7408591	1.9201442	2.9069226	-3.1143098	-4.5176682	0.103854924
SRR7408592	1.1986921	2.8703046	-2.1383228	-3.775135	0.63980913
SRR7408593	0.5228624	2.586291	-2.329787	-3.7758474	0.46660647
SRR7408594	-0.028140865	1.850263	-1.9682084	-2.7166574	0.5099207
SRR7408595	0.8860839	2.6228507	-2.7010884	-3.972487	0.4456353
SRR7408596	3.4337296	3.8448138	-2.7366452	-5.505629	0.4963226
SRR7408597	0.9550788	2.1855474	-2.0861464	-3.73987	0.14437771
SRR7408598	5.539465	3.2981231	-2.4217753	-4.5575314	-0.12822333
SRR7408599	4.804573	3.8712144	-2.0356092	-5.222591	0.276727
SRR7408600	3.3988624	4.610958	-2.650875	-5.1023326	0.7358412
SRR7408601	5.376508	3.713186	-2.58891	-5.9101057	-0.017580833
SRR7408602	5.2965217	4.376526	-2.421763	-5.704767	0.39229438
SRR7408603	2.240583	2.2820957	-1.9884318	-4.7833543	0.17099753
SRR7408604	0.07125156	1.2598232	-1.206543	-2.4219928	0.2654541
SRR7408605	6.1203766	4.8100944	-2.65203	-5.5167637	0.84454596
SRR7408606	5.4006863	4.03561	-2.5379453	-6.5918856	0.115443915
SRR7408607	0.08191694	1.9294087	-2.0765462	-2.7722766	0.33666664
SRR7408608	4.7104774	3.8005083	-2.8784246	-4.8575335	0.26539686
SRR7408609	4.080592	4.12856	-2.1914492	-4.4876695	0.6644625
SRR7408610	1.9536783	3.4091156	-2.4409165	-4.8452888	0.6798859
SRR7408611	2.4623475	3.2352526	-2.679788	-5.2060704	0.21456668
SRR7408612	0.29316097	1.5981648	-1.5627658	-3.3256593	0.22988284
SRR7408613	1.8227124	1.663135	-2.435338	-3.7532508	0.046451274
SRR7408614	6.1109505	4.5653524	-2.0901008	-5.5773215	0.45405683
SRR7408615	1.4006501	2.7638333	-1.9329522	-4.0916476	0.6076146
SRR7408616	5.787162	5.577465	-2.9194818	-6.3795414	0.84562445
SRR7408617	2.9207678	3.4713285	-1.7513894	-5.520665	0.40597644
SRR7408618	3.1742291	2.6221387	-2.7217455	-3.840383	0.017508898
SRR7408619	2.7039347	3.3463054	-2.4349432	-5.0867987	0.47231832
SRR7408620	2.9179928	2.515087	-2.6886706	-4.8982477	0.0020633675
SRR7408621	5.6896467	3.7873726	-2.3595335	-5.2503495	0.12520793
SRR7408622	5.9528522	4.661442	-2.5929685	-6.5976334	0.28209606
SRR7408623	3.1119123	2.2467582	-2.061751	-4.2234735	-0.331583
