	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5
SRR7408400	-1.9594524	-1.8585969	-1.0352055	-3.6892562	2.5273495
SRR7408401	-1.2334899	-0.003730595	-0.98151624	-3.962626	4.236172
SRR7408404	-0.6604513	0.69126594	-2.0819364	-4.2930408	5.880571
SRR7408413	-1.6071963	-0.6890199	-1.2692449	-3.8835206	3.8092132
SRR7408414	-1.7923276	1.33149	-2.5258198	-3.0690832	6.172991
SRR7408418	-1.6297667	-1.01051	-0.3738818	-3.911646	3.3268661
SRR7408422	-1.2262067	-0.16623878	-2.7573352	-5.3952804	5.78163
SRR7408424	-2.6839101	0.06725651	-1.2859523	-2.4538674	2.8841457
SRR7408426	-1.6542845	-0.41377163	-0.8294047	-3.879127	3.9693637
SRR7408427	-0.8235705	0.13706362	-1.7774926	-4.576897	4.5115447
SRR7408433	-3.2349024	-0.27996105	-1.2744514	-1.9463977	2.0348663
SRR7408437	-1.8221518	0.71848357	-2.5593028	-3.669643	6.107084
SRR7408438	-2.7165713	-1.8263649	-0.65884817	-2.426001	2.4302645
SRR7408444	-1.6301484	0.017011285	-0.73172176	-1.89318	3.1661124
SRR7408446	-2.224131	1.0144364	-1.0669494	-2.7346497	4.828671
SRR7408448	-2.2146285	-2.1616697	0.73943424	-1.1035861	0.10959211
SRR7408449	-2.3937235	0.9310417	-0.14028344	-1.264063	1.995259
SRR7408454	-3.7689247	0.47806293	-0.26176438	-0.6558081	4.885873
SRR7408458	-1.621857	-0.21080339	-1.0774888	-2.6514597	4.301601
SRR7408460	-2.4350052	0.7360013	-0.781037	-0.8819345	3.5757008
SRR7408461	-1.6604939	0.13639195	-1.1582485	-1.9906858	4.692772
SRR7408462	-1.7515503	1.4115483	-1.8573254	-3.4428582	6.048728
SRR7408470	-2.4559531	0.95150083	-0.6893288	-2.1772895	2.4178162
SRR7408472	-1.3854525	0.9917521	0.5500173	-1.7952143	1.166303
SRR7408473	-1.5072598	-0.25231713	1.1112382	-2.547644	1.1137229
SRR7408474	-0.88766867	-0.7860898	-1.7617575	-4.1374393	4.804179
SRR7408475	-3.2311187	-0.32711953	-0.33830854	-2.9033313	3.3843288
SRR7408482	-0.88364506	0.32928053	-2.13	-3.3287725	5.410778
SRR7408483	-0.9366706	1.5967814	-1.2522755	-1.5023458	4.761392
SRR7408485	-0.28209704	0.9104361	-1.9752496	-3.8151302	5.220459
SRR7408486	-1.8043634	0.5558448	0.013605863	-2.8387814	3.3742685
SRR7408487	-1.6206207	-1.3744897	-0.47283056	-3.6021938	3.0326204
SRR7408493	-0.73138106	0.50757754	-0.38550833	-3.7207594	4.398782
SRR7408494	-1.9551619	0.6440664	-0.8538344	-2.285549	3.5098157
SRR7408498	-1.2366519	-0.6692413	-0.96142733	-3.9844537	3.7954187
SRR7408517	-1.072396	-0.54213625	-1.0955552	-3.7352898	4.05757
SRR7408518	-2.7501042	1.3989233	-0.7288002	-2.1853065	4.3375497
SRR7408519	-1.5002255	0.9205923	-0.8383759	-2.2876174	4.1960654
SRR7408520	-1.0536382	-0.16075921	-2.598986	-5.1182113	5.743496
SRR7408521	-1.3286223	0.63130414	-0.3755338	-1.0475621	1.7405654
SRR7408522	-2.7569175	-1.8668896	-0.23998967	-6.5403886	4.2439036
SRR7408523	-1.2448823	-0.9660115	-1.8076824	-4.616468	4.071119
SRR7408524	-2.7271366	-0.7201725	-0.7484045	-2.750764	2.9272838
SRR7408525	-1.9840837	-1.4093255	-0.45273277	-4.7827687	2.5222516
SRR7408526	-0.7719202	-1.8093337	-0.26555452	-4.469481	3.4267635
SRR7408527	-2.200201	0.7336756	-1.4345995	-2.889192	5.3349586
SRR7408528	-1.8663684	-1.013175	-1.4472044	-4.52163	4.1618257
SRR7408529	-0.9303806	-0.27970266	-1.3284763	-4.1019855	4.63289
SRR7408530	-0.6995283	-0.5240455	-0.83347857	-4.447051	3.8057027
SRR7408531	-0.5789968	0.62936825	-1.7036194	-3.9156137	5.2702403
SRR7408532	-1.7602377	0.45188814	-2.3851814	-4.641934	5.0871887
SRR7408533	-0.92608726	-0.006756872	-0.60334814	-4.6066666	4.270423
SRR7408534	-1.8882291	-0.25439572	-0.7071067	-2.834694	3.747748
SRR7408535	-2.2660072	0.88559496	-2.2256565	-2.8002524	6.3097043
SRR7408536	-2.092266	-2.1493177	-0.28917935	-2.7881875	1.8210757
SRR7408537	-1.6410226	-0.15875423	-1.7806462	-4.223374	5.506242
SRR7408538	-0.8593756	-0.063948125	-0.3491172	-2.5727618	3.6685314
SRR7408539	-0.36934775	-0.13082463	-2.0373144	-4.3695498	5.3120103
SRR7408540	-4.412545	0.80570126	-0.62626684	-1.7334921	3.1244955
SRR7408541	-0.96418107	-0.019071639	-2.537523	-3.5740588	5.3915052
SRR7408542	-1.3853881	0.47880197	-1.7453531	-3.2075474	5.58246
SRR7408543	-3.0578794	1.5641918	-0.8756211	-1.3833671	3.7747846
SRR7408544	-1.247436	-0.7068007	-1.6215643	-3.918312	3.3012836
SRR7408545	-0.98388875	0.8501264	-1.5608985	-4.101444	4.8595834
SRR7408546	-2.561827	1.5615488	-0.6036223	-1.719305	4.093563
SRR7408547	-3.4446363	0.47014666	-0.87367177	-1.8126601	3.8152652
